ID,Track,Singer(s),Stream
1,Lucky You (feat. Joyner Lucas),Eminem; Joyner Lucas,188264240
2,In My Feelings,Drake,222489472
3,The Ringer,Eminem,87846808
4,Greatest,Eminem,45904025
5,FEFE,6ix9ine; Nicki Minaj; Murda Beatz,172741563
6,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,215017250
7,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,239486090
8,In My Mind,Dynoro; Gigi D'Agostino,228843570
9,SICKO MODE,Travis Scott,247779203
10,Not Alike (feat. Royce Da 5'9),Eminem; Royce Da 5'9",51568074
11,Lucid Dreams,Juice WRLD,211819249
12,No Brainer,DJ Khaled; Justin Bieber; Quavo; Chance the Rapper,123876423
13,Kamikaze,Eminem,38616703
14,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,233106372
15,Fall,Eminem,64944641
16,Taste (feat. Offset),Tyga; Offset,163114396
17,I Like It,Cardi B; Bad Bunny; J Balvin,160268065
18,God is a woman,Ariana Grande,133079615
19,Normal,Eminem,25899211
20,Happier,Marshmello; Bastille,366828455
21,Vaina Loca,Ozuna; Manuel Turizo,173251087
22,Stepping Stone,Eminem,24976023
23,breathin,Ariana Grande,138660723
24,SAD!,XXXTENTACION,185114093
25,Rise,Jonas Blue; Jack & Jack,132533421
26,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,127935700
27,Body,Loud Luxury; Brando,126504198
28,Better Now,Post Malone,168838465
29,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,110968112
30,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,138118113
31,Paul - Skit,Paul Rosenberg,16903420
32,Venom - Music From The Motion Picture,Eminem,90775901
33,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,117724484
34,Youngblood,5 Seconds of Summer,145054381
35,BEBE,6ix9ine; Anuel AA,169479216
36,Be Alright,Dean Lewis,192400218
37,Nonstop,Drake,132700414
38,Em Calls Paul - Skit,Eminem,11969100
39,Good Guy (feat. Jessie Reyez),Eminem; Jessie Reyez,20687993
40,Moonlight,XXXTENTACION,164634356
41,Nice Guy (with Jessie Reyez),Eminem; Jessie Reyez,16189473
42,Sin Pijama,Becky G; NATTI NATASHA,104201014
43,No Es Justo,J Balvin; Zion & Lennox,114895086
44,God's Plan,Drake,114178827
45,Happy Now,Zedd; Elley Duhé,137440682
46,no tears left to cry,Ariana Grande,111076396
47,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,127603796
48,Shotgun,George Ezra,116307610
49,Natural,Imagine Dragons,157945859
50,rockstar (feat. 21 Savage),Post Malone; 21 Savage,120790336
51,STARGAZING,Travis Scott,82893735
52,Jocelyn Flores,XXXTENTACION,121618656
53,Whenever (feat. Conor Maynard),Kris Kross Amsterdam; The Boy Next Door; Conor Maynard,67008923
54,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,96351608
55,2002,Anne-Marie,98483113
56,Clandestino,Shakira; Maluma,75974932
57,Nevermind,Dennis Lloyd,64415735
58,High Hopes,Panic! At The Disco,120466804
59,changes,XXXTENTACION,105301407
60,Born To Be Yours,Kygo; Imagine Dragons,75016957
61,Nice For What,Drake,76097488
62,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,85150878
63,Don't Leave Me Alone (feat. Anne-Marie),David Guetta; Anne-Marie,66750482
64,Shape of You,Ed Sheeran,98107144
65,Ocean (feat. Khalid),Martin Garrix; Khalid,73428906
66,Cuando Te Besé,Becky G; Paulo Londra,119597581
67,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,84122490
68,Mala Mía,Maluma,98565714
69,No Me Acuerdo,Thalia; NATTI NATASHA,71705906
70,I'm a Mess,Bebe Rexha,76324604
71,Thunderclouds (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,111251229
72,Yes Indeed,Lil Baby; Drake,84250679
73,Asesina,Brytiago; Darell,63894015
74,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,91910519
75,Havana (feat. Young Thug),Camila Cabello; Young Thug,84206539
76,Me Niego (feat. Ozuna & Wisin),Reik; Ozuna; Wisin,45256549
77,SWISH,Tyga,47148837
78,X,Nicky Jam; J Balvin,34186123
79,X (feat. Maluma & Ozuna) - Remix,Nicky Jam; J Balvin; Maluma; Ozuna,49878544
80,La player (Bandolera),Zion & Lennox,46873648
81,Believer,Imagine Dragons,90977355
82,Don’t Matter To Me (with Michael Jackson),Drake; Michael Jackson,32623948
83,FRIENDS,Marshmello; Anne-Marie,80033297
84,IDGAF,Dua Lipa,86802495
85,The Middle,Zedd; Maren Morris; Grey,79718032
86,Thunder,Imagine Dragons,80124483
87,Look Alive (feat. Drake),BlocBoy JB; Drake,70029572
88,Mo Bamba,Sheck Wes,171910826
89,New Rules,Dua Lipa,80098360
90,Darkside,Alan Walker; Au/Ra; Tomine Harket,48431509
91,Unica,Ozuna,31900754
92,All Girls Are The Same,Juice WRLD,72645958
93,1 2 3 (feat. Jason Derulo & De La Ghetto),Sofía Reyes; Jason Derulo; De La Ghetto,34383362
94,Quiere Beber,Anuel AA,102108127
95,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo; David Guetta; Nicki Minaj; Willy William,92722738
96,lovely (with Khalid),Billie Eilish; Khalid,98504346
97,Perfect,Ed Sheeran,84958393
98,BIG BANK (feat. 2 Chainz Big Sean Nicki Minaj),YG; 2 Chainz; Big Sean; Nicki Minaj,56746572
99,Lean Wit Me,Juice WRLD,70394846
100,High On Life (feat. Bonn),Martin Garrix; Bonn,50168800
101,Mi Cama - Remix,KAROL G; J Balvin; Nicky Jam,22346879
102,Por Perro,Sebastian Yatra; Luis Figueroa; Lary Over,22189187
103,Everybody Dies In Their Nightmares,XXXTENTACION,72263332
104,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental; Jess Glynne; Macklemore; Dan Caplen,57965347
105,WORKIN ME,Quavo,38951848
106,I Like Me Better,Lauv,74685277
107,YOSEMITE,Travis Scott,49689379
108,Look At Me!,XXXTENTACION,66446422
109,I Fall Apart,Post Malone,75013054
110,Dura - Remix,Daddy Yankee; NATTI NATASHA; Becky G; Bad Bunny,19014771
111,Flames,David Guetta; Sia,43253345
112,Love Lies (with Normani),Khalid; Normani,70583574
113,Madura,Cosculluela; Bad Bunny,28772508
114,Hipócrita,Anuel AA; Zion,62591260
115,Side Effects,The Chainsmokers; Emily Warren,16174661
116,XO Tour Llif3,Lil Uzi Vert,69093230
117,Estamos Bien,Bad Bunny,26957611
118,Wasted (feat. Lil Uzi Vert),Juice WRLD; Lil Uzi Vert,35697267
119,Toda - Remix,Alex Rose; Cazzu; Rauw Alejandro; Lenny Tavárez,72840846
120,sweetener,Ariana Grande,9798078
121,Taking A Walk,Trippie Redd,18540268
122,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,65612971
123,IDOL,BTS; Nicki Minaj,15416626
124,Mine,Bazzi,48371357
125,Closer,The Chainsmokers; Halsey,64520200
126,8 Letters,Why Don't We,27784422
127,Blah Blah Blah,Armin van Buuren,29286261
128,Africa,TOTO,49028906
129,I'm Yours,Jason Mraz,56796736
130,Dance To This (feat. Ariana Grande),Troye Sivan; Ariana Grande,3062702
131,Tie Me Down (with Elley Duhé),Gryffin; Elley Duhé,10179560
132,everytime,Ariana Grande,5599043
133,Me Dijeron,Ozuna,26398927
134,La Cintura,Alvaro Soler,7685034
135,Bella - Remix,Wolfine; Maluma,5318835
136,In My Blood,Shawn Mendes,57475777
137,the remedy for a broken heart (why am I so in love),XXXTENTACION,51236861
138,Too Good At Goodbyes,Sam Smith,68176213
139,BUTTERFLY EFFECT,Travis Scott,16392744
140,Congratulations,Post Malone; Quavo,62157298
141,I'm Upset,Drake,12437937
142,OTW,Khalid; 6LACK; Ty Dolla $ign,38962522
143,HUMBLE.,Kendrick Lamar,56057083
144,Say You Won't Let Go,James Arthur,66449095
145,Remind Me to Forget,Kygo; Miguel,18291959
146,Mob Ties,Drake,10780930
147,Ya No Tiene Novio,Sebastian Yatra; Mau y Ricky,85818344
148,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa; Swae Lee,19940044
149,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,50368412
150,Chica Paranormal,Paulo Londra,19442256
151,IDOL,BTS,631455
152,Drew Barrymore,Bryce Vine,29603631
153,Lose Yourself - From "8 Mile" Soundtrack,Eminem,13755748
154,Freaky Friday (feat. Chris Brown),Lil Dicky; Chris Brown,7912517
155,Medicina,Anitta,12211271
156,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles; Zion & Lennox,14418057
157,Something Just Like This,The Chainsmokers; Coldplay,50051853
158,Call Out My Name,The Weeknd,33640788
159,One Dance,Drake; Wizkid; Kyla,17776371
160,Hope,XXXTENTACION,36434718
161,Plug Walk,Rich The Kid,24487068
162,Wonderwall - Remastered,Oasis,54018854
163,Te Amo,Piso 21; Paulo Londra,6825228
164,Wake Me Up,Avicii,9891903
165,Síguelo Bailando,Ozuna,3982649
166,Walk It Talk It,Migos; Drake,14864573
167,Ball For Me (feat. Nicki Minaj),Post Malone; Nicki Minaj,6452791
168,Till I Collapse,Eminem; Nate Dogg,5150055
169,Amigos Con Derechos,Reik; Maluma,89865242
170,What Lovers Do (feat. SZA),Maroon 5; SZA,54281194
171,Feel It Still,Portugal. The Man,16075963
172,Celoso,Lele Pons,59381810
173,September,Earth; Wind & Fire,7269771
174,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,1769655
175,goosebumps,Travis Scott,47484021
176,Thinking out Loud,Ed Sheeran,56343892
177,Noticed,Lil Mosey,95343690
178,Only You (with Little Mix),Cheat Codes; Little Mix,2773696
179,Bohemian Rhapsody - Remastered 2011,Queen,99425862
180,All The Stars (with SZA),Kendrick Lamar; SZA,19637859
181,River (feat. Ed Sheeran),Eminem; Ed Sheeran,3536529
182,Culpables,Manuel Turizo,87524893
183,Bed (feat. Ariana Grande),Nicki Minaj; Ariana Grande,3391915
184,My Blood,Twenty One Pilots,18946375
185,Nephew (feat. Lil Pump),Smokepurpp; Lil Pump,3328546
186,Billie Jean,Michael Jackson,1059941
187,Duro y Suave,Leslie Grace; Noriel,1624881
188,Unforgettable,French Montana; Swae Lee,25440861
189,Calypso,Luis Fonsi; Stefflon Don,566977
190,Candy Paint,Post Malone,4431510
191,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran; Beyoncé,19059701
192,Whatever It Takes,Imagine Dragons,23709891
193,Melodien,Capital Bra; Juju,559120
194,Don't Stop Believin',Journey,1116664
195,Take on Me,a-ha,557306
196,Halo,Beyoncé,10425071
197,If You're Over Me,Years & Years,1633737
198,Silence,Marshmello; Khalid,40339831
199,Lucky Strike,Troye Sivan,551836
200,you should see me in a crown,Billie Eilish,10098372
201,All of Me,John Legend,6633926
202,Young Dumb & Broke,Khalid,47345559
203,Photograph,Ed Sheeran,46768350
204,Wolves,Selena Gomez; Marshmello,26117258
205,Magic In The Hamptons (feat. Lil Yachty),Social House; Lil Yachty,6800602
206,R.E.M,Ariana Grande,488506
207,Let Her Go,Passenger,4876912
208,REMEDY,Alesso,68197531
209,Feels Like Summer,Childish Gambino,16588449
