ID,Track,Singer(s),Stream
1,Shape of You,Ed Sheeran,552346405
2,Something Just Like This,The Chainsmokers; Coldplay,335788117
3,It Ain't Me (with Selena Gomez),Kygo; Selena Gomez,333539606
4,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,201337398
5,Paris,The Chainsmokers,220224438
6,Despacito,Luis Fonsi; Daddy Yankee,285107860
7,Scared to Be Lonely,Martin Garrix; Dua Lipa,216730392
8,Chained To The Rhythm,Katy Perry; Skip Marley,156073831
9,Issues,Julia Michaels,211777142
10,Castle on the Hill,Ed Sheeran,181932073
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,170823811
12,I Feel It Coming,The Weeknd; Daft Punk,158223430
13,Slide (feat. Frank Ocean & Migos),Calvin Harris; Frank Ocean; Migos; Funk Wav,209304707
14,Stay,Zedd; Alessia Cara,279153952
15,Say You Won't Let Go,James Arthur,142619976
16,That's What I Like,Bruno Mars,276867511
17,Believer,Imagine Dragons,169525298
18,Closer,The Chainsmokers; Halsey,140689389
19,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,150780313
20,Cold (feat. Future),Maroon 5; Future,163185056
21,Starboy,The Weeknd; Daft Punk,128697774
22,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,110444708
23,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer; PARTYNEXTDOOR; Nicki Minaj,116654062
24,How Far I'll Go - From "Moana",Alessia Cara,108232435
25,iSpy (feat. Lil Yachty),KYLE; Lil Yachty,170339730
26,Chantaje (feat. Maluma),Shakira; Maluma,120218113
27,Just Hold On,Steve Aoki; Louis Tomlinson,76115115
28,Solo Dance,Martin Jensen,137531380
29,Weak,AJR,105542313
30,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,62617261
31,All Time Low,Jon Bellion,83909740
32,All Night,The Vamps; Matoma,82465763
33,Let Me Love You,DJ Snake; Justin Bieber,97329840
34,Bounce Back,Big Sean,99103610
35,Fake Love,Drake,113108227
36,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,81199877
37,El Amante,Nicky Jam,125351666
38,Congratulations,Post Malone; Quavo,142465252
39,24K Magic,Bruno Mars,90409014
40,Shed a Light,Robin Schulz; David Guetta; Cheat Codes,63242860
41,Don't Leave,Snakehips; MØ,51899381
42,You Don't Know Me (feat. RAYE),Jax Jones; RAYE,152909412
43,Reggaetón Lento (Bailemos),CNCO,84736765
44,One Dance,Drake; Wizkid; Kyla,96682876
45,Tunnel Vision,Kodak Black,112961073
46,Mask Off,Future,268264361
47,Hear Me Now,Alok; Zeeba; Bruno Martini,75052883
48,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,69099663
49,In the Name of Love,Martin Garrix; Bebe Rexha,70125504
50,Now and Later,Sage The Gemini,22461534
51,T-Shirt,Migos,82964208
52,Side To Side,Ariana Grande; Nicki Minaj,67120448
53,Sunset Lover,Petit Biscuit,42712928
54,SUBEME LA RADIO,Enrique Iglesias; Descemer Bueno; Zion & Lennox,144875040
55,I Got You,Bebe Rexha,51083181
56,Otra vez (feat. J Balvin),Zion & Lennox; J Balvin,82723458
57,Starving,Hailee Steinfeld; Grey; Zedd,79646897
58,Water Under the Bridge,Adele,37188422
59,How Would You Feel (Paean),Ed Sheeran,64289120
60,Body Like A Back Road,Sam Hunt,81589388
61,Black Beatles,Rae Sremmurd; Gucci Mane,58658788
62,Love On The Brain,Rihanna,65959279
63,My Way,Calvin Harris,58910585
64,Love,Lana Del Rey,16865290
65,It's Gotta Be You,Isaiah Firebrace,17585927
66,Human,Rag'n'Bone Man,56416406
67,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),Justin Timberlake,67605620
68,Safari,J Balvin; Pharrell Williams; BIA; Sky Rompiendo,60552900
69,Swang,Rae Sremmurd,72763264
70,Comin Out Strong (feat. The Weeknd),Future; The Weeknd,14314298
71,Selfish (feat. Rihanna),Future; Rihanna,101921318
72,September Song,JP Cooper,93094786
73,Alone,Alan Walker,34619244
74,History,Olivia Holt,45912751
75,Mercy,Shawn Mendes,59286769
76,Photograph,Ed Sheeran,61388133
77,Touch,Little Mix,84373393
78,Treat You Better,Shawn Mendes,63244459
79,Don't Let Me Down,The Chainsmokers; Daya,69853450
80,Heathens,Twenty One Pilots,59628458
81,Party Monster,The Weeknd,33712951
82,Scars To Your Beautiful,Alessia Cara,51719699
83,All We Know,The Chainsmokers; Phoebe Ryan,35465176
84,I Would Like,Zara Larsson,23761838
85,Vente Pa' Ca (feat. Maluma),Ricky Martin; Maluma,60909146
86,Caroline,Aminé,44010423
87,La Rompe Corazones,Daddy Yankee; Ozuna,76401098
88,Me llamas (feat. Maluma) - Remix,Piso 21; Maluma,64388484
89,Thinking out Loud,Ed Sheeran,56192765
90,Ay Mi Dios,IAmChino; Pitbull; Yandel; El Chacal,57731632
91,Redbone,Childish Gambino,69677320
92,Vacaciones,Wisin,53306415
93,Sola (Remix),Anuel AA; Daddy Yankee; Zion & Lennox; Farruko; Wisin,69117803
94,The Other,Lauv,30208009
95,Romantic - NOTD Remix,Stanaj; NOTD,11602235
96,Moves,Big Sean,37003688
97,Skin,Rag'n'Bone Man,52825270
98,Oceans Away,A R I Z O N A,17117311
99,Make Me (Cry),Noah Cyrus; Labrinth,10215742
100,Love Me Now,John Legend,15714256
