ID,Track,Singer(s),Stream
1,drivers license,Olivia Rodrigo,347239345
2,Save Your Tears,The Weeknd,275172020
3,Blinding Lights,The Weeknd,259808378
4,telepatía,Kali Uchis,280919216
5,DÁKITI,Bad Bunny; Jhayco,243679577
6,Calling My Phone,Lil Tjay; 6LACK,183649690
7,Astronaut In The Ocean,Masked Wolf,349664195
8,Bandido,Myke Towers; Juhn,190133316
9,The Business,Tiësto,228161288
10,Mood (feat. iann dior),24kGoldn; iann dior,193084563
11,WITHOUT YOU,The Kid LAROI,183892816
12,Streets,Doja Cat,184401428
13,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,165059758
14,Good Days,SZA,141831050
15,Up,Cardi B,203535631
16,Levitating (feat. DaBaby),Dua Lipa; DaBaby,305283230
17,Heartbreak Anniversary,Giveon,251350618
18,Dynamite,BTS,176543560
19,Whoopty,CJ,125187426
20,positions,Ariana Grande,142737059
21,34+35,Ariana Grande,123903285
22,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,146979658
23,BICHOTA,KAROL G,116606202
24,Ella No Es Tuya - Remix,Rochy RD; Myke Towers; Nicki Nicole,143559682
25,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,130214530
26,We're Good,Dua Lipa,144240048
27,Someone You Loved,Lewis Capaldi,150462265
28,Hecha Pa' Mi,Boza,130336480
29,Anyone,Justin Bieber,137186925
30,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,129072686
31,you broke me first,Tate McRae,121543394
32,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans; 220 KID; Billen Ted,129495477
33,Heat Waves,Glass Animals,163435845
34,What You Know Bout Love,Pop Smoke,109708362
35,Arcade,Duncan Laurence,167990393
36,Goosebumps - Remix,Travis Scott; HVME,152977389
37,Watermelon Sugar,Harry Styles,163037081
38,Therefore I Am,Billie Eilish,103729025
39,Your Love (9PM),ATB; Topic; A7S,161148344
