ID,Track,Singer(s),Stream
1,God's Plan,Drake,463251288
2,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,372050039
3,All The Stars (with SZA),Kendrick Lamar; SZA,221251246
4,IDGAF,Dua Lipa,241549747
5,Mine,Bazzi,205389387
6,FRIENDS,Marshmello; Anne-Marie,301144473
7,Look Alive (feat. Drake),BlocBoy JB; Drake,234135122
8,Pray For Me,The Weeknd; Kendrick Lamar,135130922
9,rockstar (feat. 21 Savage),Post Malone; 21 Savage,229533609
10,The Middle,Zedd; Maren Morris; Grey,251671706
11,Amorfoda,Bad Bunny,117825861
12,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental; Jess Glynne; Macklemore; Dan Caplen,215593996
13,Love Lies (with Normani),Khalid; Normani,232823506
14,Havana (feat. Young Thug),Camila Cabello; Young Thug,175026340
15,Dura,Daddy Yankee,173887508
16,River (feat. Ed Sheeran),Eminem; Ed Sheeran,110795753
17,Stir Fry,Migos,112368900
18,Finesse - Remix; feat. Cardi B,Bruno Mars; Cardi B,112831236
19,Never Be the Same,Camila Cabello,132069539
20,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,169174809
21,Échame La Culpa,Luis Fonsi; Demi Lovato,133481464
22,I Fall Apart,Post Malone,124015124
23,New Rules,Dua Lipa,138379504
24,Sick Boy,The Chainsmokers,89033755
25,Wolves,Selena Gomez; Marshmello,114938999
26,For You (With Rita Ora),Liam Payne; Rita Ora,80849838
27,Perfect,Ed Sheeran,123595956
28,King's Dead (with Kendrick Lamar Future & James Blake),Jay Rock; Kendrick Lamar; Future; James Blake,105191988
29,Him & I (with Halsey),G-Eazy; Halsey,80867176
30,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,91888706
31,Bella,Wolfine,120165717
32,Let You Down,NF,97112394
33,Capital Letters,Hailee Steinfeld; BloodPop®,65840732
34,Shape of You,Ed Sheeran,129975060
35,Heaven,Julia Michaels,65704569
36,Say Something (feat. Chris Stapleton),Justin Timberlake; Chris Stapleton,120535077
37,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21; Manuel Turizo,117186732
38,I Miss You (feat. Julia Michaels),Clean Bandit; Julia Michaels,81352609
39,Downtown,Anitta; J Balvin,95527449
40,Corazón (feat. Nego do Borel),Maluma; Nego do Borel,97391027
41,Criminal,NATTI NATASHA; Ozuna,98876334
42,44 More,Logic,47411016
43,Silence,Marshmello; Khalid,88275818
44,Feel It Still,Portugal. The Man,99058941
45,Too Good At Goodbyes,Sam Smith,88694850
46,Thunder,Imagine Dragons,97471086
47,What Lovers Do (feat. SZA),Maroon 5; SZA,77603866
48,Sensualidad,Bad Bunny; Prince Royce; J Balvin; Mambo Kingz; DJ Luian,82764716
49,Rewrite The Stars,Zac Efron; Zendaya,75436120
50,This Is Me,Keala Settle; The Greatest Showman Ensemble,78461783
51,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,124272869
52,XO Tour Llif3,Lil Uzi Vert,93605470
53,Congratulations,Post Malone; Quavo,86773962
54,Narcos,Migos,32014086
55,EL BAÑO,Enrique Iglesias; Bad Bunny,78717169
56,HUMBLE.,Kendrick Lamar,82687521
57,Síguelo Bailando,Ozuna,110436650
58,The Ways (with Swae Lee),Khalid; Swae Lee,12045032
59,Me Niego (feat. Ozuna & Wisin),Reik; Ozuna; Wisin,155499710
60,Young Dumb & Broke,Khalid,79472149
61,Betrayed,Lil Xan,56098232
62,LOVE. FEAT. ZACARI.,Kendrick Lamar; Zacari,37919627
63,X (with 2 Chainz & Saudi),ScHoolboy Q; 2 Chainz; Saudi,25049014
64,Candy Paint,Post Malone,101900793
65,Tip Toe (feat. French Montana),Jason Derulo; French Montana,44995446
66,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN; Sia,72042996
67,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix; David Guetta; Jamie Scott; Romy Dya,37030675
68,Anywhere,Rita Ora,62261788
69,Dembow,Danny Ocean,86154305
70,No Limit,G-Eazy; A$AP Rocky; Cardi B,43542805
71,Believer,Imagine Dragons,88531939
72,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran; Beyoncé,71309746
73,Machika,J Balvin; Jeon; Anitta,46247835
74,Solita,Ozuna; Mambo Kingz; DJ Luian; Bad Bunny; Wisin; Almighty,70984030
75,Bartier Cardi (feat. 21 Savage),Cardi B; 21 Savage,54425459
76,Sky Walker (feat. Travis Scott),Miguel; Travis Scott,29159065
77,She Loves Control,Camila Cabello,19568159
78,How Long,Charlie Puth,57694870
79,You Owe Me,The Chainsmokers,15295613
80,Nowadays (feat. Landon Cube),Lil Skies; Landon Cube,46503908
81,Bum Bum Tam Tam,MC Fioti; Future; J Balvin; Stefflon Don; Juan Magán,62687583
82,Se Preparó,Ozuna,52640985
83,Bank Account,21 Savage,64768725
84,Unforgettable,French Montana; Swae Lee,72836048
85,Me Rehúso,Danny Ocean,65872216
86,1 2 3 (feat. Jason Derulo & De La Ghetto),Sofía Reyes; Jason Derulo; De La Ghetto,120041931
87,PICK IT UP (feat. A$AP Rocky),Famous Dex; A$AP Rocky,70283494
88,I Like Me Better,Lauv,66004825
89,1-800-273-8255,Logic; Alessia Cara; Khalid,65724034
90,Say You Won't Let Go,James Arthur,70438690
91,Want You Back,5 Seconds of Summer,18589319
92,New Freezer (feat. Kendrick Lamar),Rich The Kid; Kendrick Lamar,41890244
93,Attention,Charlie Puth,66219600
94,MotorSport,Migos; Nicki Minaj; Cardi B,33469450
95,Something Just Like This,The Chainsmokers; Coldplay,67918741
96,Mi Gente,J Balvin; Willy William,62918509
97,Jocelyn Flores,XXXTENTACION,80116786
98,Gucci Gang,Lil Pump,35914218
99,Plain Jane,A$AP Ferg,47673434
100,Quiero Repetir,Ozuna; J Balvin,37248717
101,Location,Khalid,64155015
102,Like I Do,David Guetta; Martin Garrix; Brooks,136544853
103,Sorry Not Sorry,Demi Lovato,62017990
104,Mayores,Becky G; Bad Bunny,29968293
105,All Falls Down (feat. Juliander),Alan Walker; Noah Cyrus; Digital Farm Animals; Juliander,44184352
106,Bounce Out With That,YBN Nahmir,34830992
107,Naked,James Arthur,16339602
