ID,Track,Singer(s),Stream
1,rockstar (feat. 21 Savage),Post Malone; 21 Savage,350479035
2,Havana (feat. Young Thug),Camila Cabello; Young Thug,319551521
3,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran; Beyoncé,182367171
4,Wolves,Selena Gomez; Marshmello,236666155
5,New Rules,Dua Lipa,238402519
6,Perfect,Ed Sheeran,218108757
7,Gucci Gang,Lil Pump,162116953
8,What Lovers Do (feat. SZA),Maroon 5; SZA,185476647
9,Let You Down,NF,213521509
10,Too Good At Goodbyes,Sam Smith,180289628
11,Échame La Culpa,Luis Fonsi; Demi Lovato,220715686
12,All I Want for Christmas Is You,Mariah Carey,95032256
13,Silence,Marshmello; Khalid,172059934
14,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN; Sia,150360565
15,I Fall Apart,Post Malone,182170465
16,Candy Paint,Post Malone,127100396
17,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,167689508
18,Young Dumb & Broke,Khalid,130834410
19,How Long,Charlie Puth,121474003
20,Shape of You,Ed Sheeran,182442199
21,1-800-273-8255,Logic; Alessia Cara; Khalid,110795374
22,I Miss You (feat. Julia Michaels),Clean Bandit; Julia Michaels,149171564
23,Stargazing,Kygo; Justin Jesso,104351677
24,Sensualidad,Bad Bunny; Prince Royce; J Balvin; Mambo Kingz; DJ Luian,143357837
25,Last Christmas,Wham!,65546471
26,Criminal,NATTI NATASHA; Ozuna,142978783
27,Thunder,Imagine Dragons,136854418
28,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,157037621
29,XO Tour Llif3,Lil Uzi Vert,131892414
30,Bank Account,21 Savage,103474537
31,Downtown,Anitta; J Balvin,148711493
32,Unforgettable,French Montana; Swae Lee,110514655
33,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,123746791
34,Congratulations,Post Malone; Quavo,121921297
35,Lonely Together (feat. Rita Ora),Avicii; Rita Ora,93961746
36,No Limit,G-Eazy; A$AP Rocky; Cardi B,138553270
37,Mi Gente,J Balvin; Willy William,112029935
38,Se Preparó,Ozuna,112205899
39,Feel It Still,Portugal. The Man,124662982
40,Him & I (with Halsey),G-Eazy; Halsey,203112028
41,Sorry Not Sorry,Demi Lovato,93387367
42,Plain Jane,A$AP Ferg,87569029
43,Mayores,Becky G; Bad Bunny,101164563
44,Me Rehúso,Danny Ocean,105622094
45,Man's Not Hot,Big Shaq,79730862
46,Anywhere,Rita Ora,112245615
47,Perro Fiel (feat. Nicky Jam),Shakira; Nicky Jam,84228086
48,I Like Me Better,Lauv,89141033
49,Attention,Charlie Puth,95945284
50,MotorSport,Migos; Nicki Minaj; Cardi B,96713105
51,Friends (with BloodPop®),Justin Bieber; BloodPop®,75123225
52,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix; David Guetta; Jamie Scott; Romy Dya,104460769
53,Havana - Remix,Camila Cabello; Daddy Yankee,79331630
54,Glorious (feat. Skylar Grey),Macklemore; Skylar Grey,65277540
55,All Falls Down (feat. Juliander),Alan Walker; Noah Cyrus; Digital Farm Animals; Juliander,88191772
56,Corazón (feat. Nego do Borel),Maluma; Nego do Borel,152765411
57,Walk On Water (feat. Beyoncé),Eminem; Beyoncé,33626438
58,Tip Toe (feat. French Montana),Jason Derulo; French Montana,103619370
59,HUMBLE.,Kendrick Lamar,114497819
60,Betrayed,Lil Xan,87808783
61,More Than You Know,Axwell /\ Ingrosso,83513537
62,Look What You Made Me Do,Taylor Swift,53378085
63,It's Beginning to Look a Lot like Christmas,Michael Bublé,40070233
64,I Get the Bag (feat. Migos),Gucci Mane; Migos,68314959
65,Que Va,Alex Sensation; Ozuna,81093220
66,PICK IT UP (feat. A$AP Rocky),Famous Dex; A$AP Rocky,89041906
67,Mi Gente (feat. Beyoncé),J Balvin; Willy William; Beyoncé,26799345
68,Bodak Yellow,Cardi B,82706691
69,Jocelyn Flores,XXXTENTACION,79140344
70,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha),Machine Gun Kelly; X Ambassadors; Bebe Rexha,71319291
71,Báilame - Remix,Nacho; Yandel; Bad Bunny; Mambo Kingz; DJ Luian,78819132
72,Something Just Like This,The Chainsmokers; Coldplay,90657041
73,Believer,Imagine Dragons,89895052
74,Bonita,J Balvin; Jowell & Randy,58153072
75,Ghostface Killers (feat. Travis Scott),21 Savage; Offset; Metro Boomin; Travis Scott,34619874
76,Miss You,Louis Tomlinson,2074951
77,Santa Tell Me,Ariana Grande,35772720
78,Mistletoe,Justin Bieber,29146781
79,Suena El Dembow,Joey Montana; Sebastian Yatra,75369977
80,Bad At Love,Halsey,57817623
81,Wait,Maroon 5,59740619
82,BUTTERFLY EFFECT,Travis Scott,70956473
83,Felices los 4,Maluma,73545613
84,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21; Manuel Turizo,125697529
85,Escápate Conmigo (feat. Ozuna),Wisin; Ozuna,74600351
86,goosebumps,Travis Scott,73425495
87,Robarte un Beso,Carlos Vives; Sebastian Yatra,71664316
88,...Ready For It?,Taylor Swift,26883267
89,Do They Know It's Christmas? - 1984 Version,Band Aid,37493567
90,There's Nothing Holdin' Me Back,Shawn Mendes,74026671
91,What About Us,P!nk,60763918
92,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,83839359
93,Vuelve,Daddy Yankee; Bad Bunny,68192844
94,Rockin' Around The Christmas Tree,Brenda Lee,37853913
95,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS; Desiigner; Steve Aoki,42886714
96,Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris; Pharrell Williams; Katy Perry; Big Sean; Funk Wav,64053828
97,Location,Khalid,75618111
98,It's the Most Wonderful Time of the Year,Andy Williams,33335911
99,Say You Won't Let Go,James Arthur,78206076
100,A Different Way (with Lauv),DJ Snake; Lauv,30105833
101,Strip That Down (feat. Quavo),Liam Payne; Quavo,69819457
102,Wanted You (feat. Lil Uzi Vert),NAV; Lil Uzi Vert,60453944
103,Go Flex,Post Malone,62081198
104,Naked,James Arthur,72840542
105,Without You (feat. Sandro Cavazza),Avicii; Sandro Cavazza,49881469
106,Roll in Peace (feat. XXXTENTACION),Kodak Black; XXXTENTACION,57107662
107,Good Old Days (feat. Kesha),Macklemore; Kesha,22314397
108,Gorgeous,Taylor Swift,9238351
109,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled; Rihanna; Bryson Tiller,62357261
110,Too Much To Ask,Niall Horan,33936795
111,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne),DJ Khaled; Justin Bieber; Quavo; Chance the Rapper; Lil Wayne,65824596
112,Mama,Jonas Blue; William Singe,61132330
113,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,58069107
114,Galway Girl,Ed Sheeran,66091263
115,SUTRA,Sebastian Yatra; Dalmata,70102612
116,Codeine Dreaming (feat. Lil Wayne),Kodak Black; Lil Wayne,80865039
117,Bella y Sensual,Romeo Santos; Daddy Yankee; Nicky Jam,64855236
118,Homemade Dynamite (Feat. Khalid Post Malone & SZA) - REMIX,Lorde; Khalid; Post Malone; SZA,8357666
119,Una Lady Como Tú,Manuel Turizo,56877060
120,Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson,67301257
121,Slippery (feat. Gucci Mane),Migos; Gucci Mane,44524333
122,Happy Xmas (War Is Over) - Remastered 2010,John Lennon; Yoko Ono,31143184
123,That's What I Like,Bruno Mars,68247525
124,Dirty Sexy Money (feat. Charli XCX & French Montana),David Guetta; AFROJACK; Charli XCX; French Montana,39299369
125,Jingle Bell Rock,Bobby Helms,27415796
126,LOVE. FEAT. ZACARI.,Kendrick Lamar; Zacari,90723460
127,End Game,Taylor Swift; Ed Sheeran; Future,71770881
128,Mask Off,Future,58523263
129,Ahora Dice,Chris Jedi; J Balvin; Ozuna; Arcángel,36206997
130,Fairytale of New York (feat. Kirsty MacColl),The Pogues; Kirsty MacColl,24097445
131,Despacito,Luis Fonsi; Daddy Yankee,60994449
132,Photograph,Ed Sheeran,63214943
133,White Iverson,Post Malone,52922676
134,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson; Bebe Rexha; Digital Farm Animals,49559844
135,Sky Walker (feat. Travis Scott),Miguel; Travis Scott,80493099
136,Slow Hands,Niall Horan,36784085
137,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo; Nicki Minaj; Ty Dolla $ign,56225863
138,Get It Right (feat. MØ),Diplo; MØ,4270833
139,3 A.M.,Jesse & Joy; Gente De Zona,33698831
140,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra; B. Swanson Quartet,26639697
141,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert; Oh Wonder,36397379
