ID,Track,Singer(s),Stream
1,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,471911575
2,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne),DJ Khaled; Justin Bieber; Quavo; Chance the Rapper; Lil Wayne,332309018
3,Shape of You,Ed Sheeran,297285931
4,HUMBLE.,Kendrick Lamar,218878073
5,Attention,Charlie Puth,270986129
6,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo; Nicki Minaj; Ty Dolla $ign,204736053
7,There's Nothing Holdin' Me Back,Shawn Mendes,226603958
8,Despacito,Luis Fonsi; Daddy Yankee,199739232
9,Unforgettable,French Montana; Swae Lee,311911628
10,Stay,Zedd; Alessia Cara,162405575
11,Something Just Like This,The Chainsmokers; Coldplay,195284193
12,Malibu,Miley Cyrus,130463555
13,It Ain't Me (with Selena Gomez),Kygo; Selena Gomez,139204140
14,XO Tour Llif3,Lil Uzi Vert,224562794
15,Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson,163904563
16,Mask Off,Future,149095665
17,That's What I Like,Bruno Mars,159319289
18,Strip That Down (feat. Quavo),Liam Payne; Quavo,245434476
19,Thunder,Imagine Dragons,239881446
20,Felices los 4,Maluma,180908662
21,Bad Liar,Selena Gomez,143882992
22,There for You,Martin Garrix; Troye Sivan,185571680
23,First Time,Kygo; Ellie Goulding,113287722
24,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann; Cheat Codes; CADE,165741784
25,No Promises (feat. Demi Lovato),Cheat Codes; Demi Lovato,138368158
26,Mama,Jonas Blue; William Singe,227837944
27,Sign of the Times,Harry Styles,98517398
28,Congratulations,Post Malone; Quavo,173194037
29,Issues,Julia Michaels,96192452
30,Passionfruit,Drake,108687471
31,Slide (feat. Frank Ocean & Migos),Calvin Harris; Frank Ocean; Migos; Funk Wav,145004399
32,1-800-273-8255,Logic; Alessia Cara; Khalid,117028062
33,Galway Girl,Ed Sheeran,121107136
34,SUBEME LA RADIO,Enrique Iglesias; Descemer Bueno; Zion & Lennox,130153684
35,Me Rehúso,Danny Ocean,170268112
36,DNA.,Kendrick Lamar,108585988
37,Slow Hands,Niall Horan,152452021
38,Scared to Be Lonely,Martin Garrix; Dua Lipa,83562417
39,Now Or Never,Halsey,107951580
40,Crying in the Club,Camila Cabello,134669599
41,The Cure,Lady Gaga,64080803
42,Location,Khalid,125389447
43,Believer,Imagine Dragons,162827983
44,iSpy (feat. Lil Yachty),KYLE; Lil Yachty,79570030
45,Rollin (feat. Future & Khalid),Calvin Harris; Future; Khalid; Funk Wav,94856719
46,Good Life (with G-Eazy & Kehlani),G-Eazy; Kehlani,39263392
47,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,85480953
48,Escápate Conmigo (feat. Ozuna),Wisin; Ozuna,129260965
49,Ahora Dice,Chris Jedi; J Balvin; Ozuna; Arcángel,110133647
50,Paris,The Chainsmokers,69619386
51,Redbone,Childish Gambino,131404050
52,Your Song,Rita Ora,149715663
53,Most Girls,Hailee Steinfeld,95400401
54,Swish Swish,Katy Perry; Nicki Minaj,85213987
55,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,76342352
56,El Amante,Nicky Jam,78249320
57,I Feel It Coming,The Weeknd; Daft Punk,75063573
58,Say You Won't Let Go,James Arthur,86643771
59,goosebumps,Travis Scott,89340085
60,Closer,The Chainsmokers; Halsey,84732795
61,Tuesday,Burak Yeter; Danelle Sandoval,67018114
62,Solo Dance,Martin Jensen,70400285
63,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),Pitbull; J Balvin; Camila Cabello,73449958
64,LOVE. FEAT. ZACARI.,Kendrick Lamar; Zacari,68957671
65,You Don't Know Me (feat. RAYE),Jax Jones; RAYE,62654424
66,Portland,Drake; Quavo; Travis Scott,54269201
67,Hey DJ,CNCO; Yandel,97285343
68,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,62145981
69,Starboy,The Weeknd; Daft Punk,72661261
70,Chantaje (feat. Maluma),Shakira; Maluma,68804954
71,No Vacancy,OneRepublic,58794048
72,The Night We Met,Lord Huron,41621464
73,Tunnel Vision,Kodak Black,49327022
74,Castle on the Hill,Ed Sheeran,70705842
75,OK,Robin Schulz; James Blunt,91914836
76,Me Enamoré,Shakira,78281310
77,Bon Appétit,Katy Perry; Migos,42423232
78,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar; Rihanna,69515921
79,Body Like A Back Road,Sam Hunt,81493829
80,One Dance,Drake; Wizkid; Kyla,72309582
81,Sigo Extrañándote,J Balvin,70770517
82,More Than You Know,Axwell /\ Ingrosso,179876040
83,Mask Off (feat. Kendrick Lamar) - Remix,Future; Kendrick Lamar,11605419
84,Quit (feat. Ariana Grande),Cashmere Cat; Ariana Grande,19797177
85,Cold (feat. Future),Maroon 5; Future,43225891
86,Selfish (feat. Rihanna),Future; Rihanna,15241329
87,Slippery (feat. Gucci Mane),Migos; Gucci Mane,79163759
88,Magnolia,Playboi Carti,84073874
89,Tú Foto,Ozuna,79808062
90,do re mi,blackbear,45909586
91,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,57351657
92,Bounce Back,Big Sean,53688183
93,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie; Kodak Black,61215505
94,La Rompe Corazones,Daddy Yankee; Ozuna,74019460
95,Perfect,Ed Sheeran,65534946
96,Still Got Time (feat. PARTYNEXTDOOR),ZAYN; PARTYNEXTDOOR,27594910
97,Let Me Love You,DJ Snake; Justin Bieber,61169517
98,Look At Me!,XXXTENTACION,51188406
99,Otra vez (feat. J Balvin),Zion & Lennox; J Balvin,65164545
100,Whatever It Takes,Imagine Dragons,39646627
101,Gyalchester,Drake,26182012
102,Nights With You,MØ,26703418
103,24K Magic,Bruno Mars,57928597
104,Fake Love,Drake,52069512
105,The One,The Chainsmokers,7232417
106,Starving,Hailee Steinfeld; Grey; Zedd,55777741
107,Chained To The Rhythm,Katy Perry; Skip Marley,40667359
108,Sola (Remix),Anuel AA; Daddy Yankee; Zion & Lennox; Farruko; Wisin,62877420
109,Strangers,Halsey; Lauren Jauregui,5847829
110,T-Shirt,Migos,43944624
111,Ciao Adios,Anne-Marie,18716275
112,Tired,Alan Walker; Gavin James,46905854
113,Whippin (feat. Felix Snow),Kiiara; Felix Snow,6411161
114,Reggaetón Lento (Bailemos),CNCO,57305510
115,Don't Let Me Down,The Chainsmokers; Daya,58307558
116,Green Light,Lorde,31331823
117,Weak,AJR,38605319
118,ELEMENT.,Kendrick Lamar,31784027
119,Me llamas (feat. Maluma) - Remix,Piso 21; Maluma,55949556
120,BUTTERFLY EFFECT,Travis Scott,104161713
121,Side To Side,Ariana Grande; Nicki Minaj,53240323
122,Photograph,Ed Sheeran,60068298
123,Reminding Me,Shawn Hook; Vanessa Hudgens,32354626
124,Swang,Rae Sremmurd,45235466
125,In the Name of Love,Martin Garrix; Bebe Rexha,49077281
126,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth; Selena Gomez,54989619
127,Vente Pa' Ca (feat. Maluma),Ricky Martin; Maluma,33973173
128,Hear Me Now,Alok; Zeeba; Bruno Martini,41374730
129,September Song,JP Cooper,22990572
130,Treat You Better,Shawn Mendes,54156190
131,I Took A Pill In Ibiza - Seeb Remix,Mike Posner; Seeb,46879339
132,Sweet Creature,Harry Styles,6934886
133,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),Justin Timberlake,52991267
134,Touch,Little Mix,17694455
135,Happier,Ed Sheeran,46242978
136,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,49952724
137,Báilame,Nacho,60207422
138,Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha; Ty Dolla $ign,1116724
139,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer; PARTYNEXTDOOR; Nicki Minaj,11376131
140,Hunter,Galantis,46191569
141,Thinking out Loud,Ed Sheeran,51794956
142,Alguien Robo,Sebastian Yatra; Nacho; Wisin,41801334
143,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,25289031
144,How Far I'll Go - From "Moana",Alessia Cara,34077569
145,Rolex,Ayo & Teo,33401463
146,Mercy,Shawn Mendes,42862970
147,Love Yourself,Justin Bieber,47159041
148,Run Me Dry,Bryson Tiller,3260513
149,All Night,The Vamps; Matoma,12177804
150,Dive,Ed Sheeran,24476469
151,wokeuplikethis*,Playboi Carti; Lil Uzi Vert,22146390
152,Safari,J Balvin; Pharrell Williams; BIA; Sky Rompiendo,32409644
153,Broccoli (feat. Lil Yachty),DRAM; Lil Yachty,22825186
154,Work from Home (feat. Ty Dolla $ign),Fifth Harmony; Ty Dolla $ign,27038677
155,Met Gala (feat. Offset),Gucci Mane; Offset,4157564
156,White Iverson,Post Malone,41349624
157,Te Quiero Pa´Mi,Don Omar; Zion & Lennox,23142367
158,Heathens,Twenty One Pilots,39135579
159,Cheap Thrills,Sia,41922412
160,The Way I Are (Dance with Somebody) [feat. Lil Wayne],Bebe Rexha; Lil Wayne,23023226
161,Shed a Light,Robin Schulz; David Guetta; Cheat Codes,13083747
162,Si Tú La Ves (feat. Wisin),Nicky Jam; Wisin,52216856
163,Faded,Alan Walker,40942765
164,Vacaciones,Wisin,15977521
165,4 AM,2 Chainz; Travis Scott,53475038
166,Ay Mi Dios,IAmChino; Pitbull; Yandel; El Chacal,13393569
167,Traicionera,Sebastian Yatra,28868255
168,What Do I Know?,Ed Sheeran,3671248
169,This Is What You Came For,Calvin Harris; Rihanna,23378819
170,I Got You,Bebe Rexha,3637958
171,Sorry,Justin Bieber,28540601
172,Perfect Strangers,Jonas Blue; JP Cooper,22606137
173,Obsession (feat. Jon Bellion),Vice; Jon Bellion,497577
174,Black Beatles,Rae Sremmurd; Gucci Mane,15362364
175,Love On The Brain,Rihanna,20741014
176,Stressed Out,Twenty One Pilots,34250301
177,La Bicicleta,Carlos Vives; Shakira,4273527
178,Just Hold On,Steve Aoki; Louis Tomlinson,3647702
179,Be Mine,Ofenbach,37846444
180,My Way,Calvin Harris,8310178
181,Remember I Told You,Nick Jonas; Anne-Marie; Mike Posner,481303
182,Besándote,Piso 21,50458323
183,Paradinha,Anitta,38276224
184,Hot2Touch,Felix Jaehn; Hight; Alex Aiono,35172487
185,Ride,Twenty One Pilots,31395031
186,Scars To Your Beautiful,Alessia Cara,4466503
187,All Time Low,Jon Bellion,2735719
188,Hard Times,Paramore,471697
189,Panda,Desiigner,19625642
190,By Your Side,Jonas Blue; RAYE,3180183
191,Lumbra,Cali Y El Dandee; Shaggy,12571968
192,Everybody,Logic,462595
193,Krantenwijk,Lil Kleine; Boef,938699
194,Lose Yourself - From "8 Mile" Soundtrack,Eminem,27610145
195,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,903307
196,Human,Rag'n'Bone Man,3517271
197,Go Flex,Post Malone,22008659
198,Lean On (feat. MØ & DJ Snake),Major Lazer; MØ; DJ Snake,20702094
199,Versace on the Floor,Bruno Mars,6005713
200,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne; Wiz Khalifa; Imagine Dragons; X Ambassadors; Logic; Ty Dolla $ign,3002454
201,Know No Better (feat. Travis Scott Camila Cabello & Quavo),Major Lazer; Travis Scott; Camila Cabello; Quavo,149072493
202,Down (feat. Gucci Mane),Fifth Harmony; Gucci Mane,85414889
203,Perfect Places,Lorde,13083815
204,Bad At Love,Halsey,12701935
205,Run,Foo Fighters,767313
206,Uh Huh,Julia Michaels,12632320
207,Everything Now,Arcade Fire,644371
208,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer; Anitta; Pabllo Vittar,26888874
209,Eyes Closed,Halsey,1867930
210,Deadcrush,alt-J,526723
211,Places,Martin Solveig; Ina Wroldsen,933165
212,Never Let Me Go,Alok; Zeeba; Bruno Martini,438854
213,Si Tu Novio Te Deja Sola,J Balvin; Bad Bunny,7931004
214,Una Lady Como Tú,Manuel Turizo,97249002
215,One Last Time,Ariana Grande,40300592
216,Into You,Ariana Grande,6089806
217,7 Years,Lukas Graham,1177652
218,pick up the phone,Young Thug; Travis Scott,1195302
219,Get Right Witcha,Migos,389092
220,To the Max (feat. Drake),DJ Khaled; Drake,13822545
221,Wonderwall - Remastered,Oasis,19662344
222,The Scientist,Coldplay,29746864
223,Everyday,Ariana Grande; Future,450260
224,I Like Me Better,Lauv,114526649
225,Don't Look Back in Anger - Remastered,Oasis,440604
226,No Lie,Sean Paul; Dua Lipa,7790873
227,Can I Be Him,James Arthur,18985994
228,Bonita,J Balvin; Jowell & Randy,91448097
229,2U (feat. Justin Bieber),David Guetta; Justin Bieber,277124846
230,Baby One More Time - Recorded at Spotify Studios New York City,Ed Sheeran,792005
231,Witness,Katy Perry,1222560
232,Hey Hey Hey,Katy Perry,702632
233,Blank Space,Taylor Swift,3879718
234,Sober,Lorde,5701220
235,Shake It Off,Taylor Swift,4816338
236,Déjà Vu,Katy Perry,567465
237,Style,Taylor Swift,1895562
238,Bad Blood,Taylor Swift,1904167
239,Love Galore (feat. Travis Scott),SZA; Travis Scott,53459549
240,Wildest Dreams,Taylor Swift,1898732
241,Came Here for Love,Sigala; Ella Eyre,59744247
242,Roulette,Katy Perry,509808
243,Summer Air,ItaloBrothers,49437603
244,Borro Cassette,Maluma,451607
245,Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris; Pharrell Williams; Katy Perry; Big Sean; Funk Wav,227566714
246,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled; Rihanna; Bryson Tiller,292007398
247,Homemade Dynamite,Lorde,21679704
248,Supercut,Lorde,4648991
249,All I Can Think About Is You,Coldplay,1748051
250,The Louvre,Lorde,4617037
251,Liability,Lorde,4428584
252,Walking The Wire,Imagine Dragons,9505556
253,Hard Feelings/Loveless,Lorde,3340519
254,The Man,The Killers,688658
255,Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones; Demi Lovato; Stefflon Don,29574129
256,Writer In The Dark,Lorde,2648188
257,Sober II (Melodrama),Lorde,2573703
258,It's A Vibe,2 Chainz; Ty Dolla $ign; Trey Songz; Jhené Aiko,49540499
259,Liability (Reprise),Lorde,544373
260,Glorious (feat. Skylar Grey),Macklemore; Skylar Grey,82642283
261,Power (feat. Stormzy),Little Mix; Stormzy,6053944
262,Good Drank,2 Chainz; Gucci Mane; Quavo,2286889
263,Relationship (feat. Future),Young Thug; Future,915033
264,Shook Ones Pt. II,Mobb Deep,477424
265,Don't Quit (feat. Travis Scott & Jeremih),DJ Khaled; Calvin Harris; Travis Scott; Jeremih,11425535
266,I Don’t Know Why,Imagine Dragons,5763978
267,I’ll Make It Up To You,Imagine Dragons,3516038
268,Rise Up,Imagine Dragons,3434777
269,Start Over,Imagine Dragons,2192734
270,On Everything (feat. Travis Scott Rick Ross & Big Sean),DJ Khaled; Travis Scott; Rick Ross; Big Sean,1159934
271,Shining (feat. Beyoncé & Jay-Z),DJ Khaled; Beyoncé; JAY-Z,2451900
272,I Love You so Much (feat. Chance the Rapper),DJ Khaled; Chance the Rapper,656527
273,Mouth Of The River,Imagine Dragons,1102831
274,Yesterday,Imagine Dragons,1084320
275,Iced Out My Arms (feat. Future Migos 21 Savage & T.I.),DJ Khaled; Future; Migos; 21 Savage; T.I.,556838
276,Dancing In The Dark,Imagine Dragons,548947
277,Champion,Fall Out Boy,544380
