ID,Track,Singer(s),Stream
1,Look What You Made Me Do,Taylor Swift,211306329
2,Mi Gente,J Balvin; Willy William,245929511
3,Friends (with BloodPop®),Justin Bieber; BloodPop®,191133463
4,New Rules,Dua Lipa,326262257
5,Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris; Pharrell Williams; Katy Perry; Big Sean; Funk Wav,161329443
6,Unforgettable,French Montana; Swae Lee,224101657
7,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled; Rihanna; Bryson Tiller,133999880
8,Sorry Not Sorry,Demi Lovato,198875560
9,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,138488554
10,XO Tour Llif3,Lil Uzi Vert,178183546
11,Havana (feat. Young Thug),Camila Cabello; Young Thug,330607289
12,Attention,Charlie Puth,160733912
13,Shape of You,Ed Sheeran,191497655
14,Silence,Marshmello; Khalid,246242555
15,2U (feat. Justin Bieber),David Guetta; Justin Bieber,108269684
16,More Than You Know,Axwell /\ Ingrosso,145485652
17,Thunder,Imagine Dragons,182075066
18,1-800-273-8255,Logic; Alessia Cara; Khalid,249878438
19,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson; Bebe Rexha; Digital Farm Animals,129084172
20,Strip That Down (feat. Quavo),Liam Payne; Quavo,127132326
21,Mama,Jonas Blue; William Singe,120203116
22,Glorious (feat. Skylar Grey),Macklemore; Skylar Grey,174130181
23,Without You (feat. Sandro Cavazza),Avicii; Sandro Cavazza,134511021
24,There's Nothing Holdin' Me Back,Shawn Mendes,122523866
25,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne),DJ Khaled; Justin Bieber; Quavo; Chance the Rapper; Lil Wayne,103701827
26,Bank Account,21 Savage,165196442
27,Young Dumb & Broke,Khalid,193262792
28,Me Rehúso,Danny Ocean,145714818
29,HUMBLE.,Kendrick Lamar,133540845
30,Jocelyn Flores,XXXTENTACION,153300039
31,What Lovers Do (feat. SZA),Maroon 5; SZA,254766997
32,I Like Me Better,Lauv,138001684
33,Bodak Yellow,Cardi B,152529483
34,What About Us,P!nk,143755817
35,Felices los 4,Maluma,111949114
36,Congratulations,Post Malone; Quavo,149664657
37,Your Song,Rita Ora,88969810
38,Lonely Together (feat. Rita Ora),Avicii; Rita Ora,148413876
39,Something Just Like This,The Chainsmokers; Coldplay,107253740
40,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo; Nicki Minaj; Ty Dolla $ign,89425917
41,Despacito,Luis Fonsi; Daddy Yankee,88248701
