ID,Track,Singer(s),Stream
1,Better Now,Post Malone,299540725
2,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,291287303
3,Nice For What,Drake,215685490
4,God's Plan,Drake,224669951
5,I Like It,Cardi B; Bad Bunny; J Balvin,317546351
6,no tears left to cry,Ariana Grande,214064060
7,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,224796071
8,X,Nicky Jam; J Balvin,166569449
9,This Is America,Childish Gambino,105638017
10,Back To You,Selena Gomez,133830775
11,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,165790500
12,FRIENDS,Marshmello; Anne-Marie,143938584
13,I'm Upset,Drake,151536519
14,Lucid Dreams,Juice WRLD,309460166
15,Yes Indeed,Lil Baby; Drake,137324229
16,Youngblood,5 Seconds of Summer,239663234
17,rockstar (feat. 21 Savage),Post Malone; 21 Savage,153887431
18,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,270095505
19,Nevermind,Dennis Lloyd,161035148
20,Flames,David Guetta; Sia,136141235
21,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,324712532
22,Love Lies (with Normani),Khalid; Normani,106407449
23,The Middle,Zedd; Maren Morris; Grey,129174419
24,In My Blood,Shawn Mendes,95354307
25,Look Alive (feat. Drake),BlocBoy JB; Drake,119463466
26,IDGAF,Dua Lipa,118539563
27,Youth (feat. Khalid),Shawn Mendes; Khalid,45309312
28,Freaky Friday (feat. Chris Brown),Lil Dicky; Chris Brown,85526768
29,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental; Jess Glynne; Macklemore; Dan Caplen,107857168
30,Me Niego (feat. Ozuna & Wisin),Reik; Ozuna; Wisin,120951267
31,2002,Anne-Marie,157224776
32,lovely (with Khalid),Billie Eilish; Khalid,128001664
33,Playinwitme (feat. Kehlani),KYLE; Kehlani,88708105
34,Sin Pijama,Becky G; NATTI NATASHA,174123203
35,Call Out My Name,The Weeknd,84858918
36,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,138823722
37,OTW,Khalid; 6LACK; Ty Dolla $ign,92999275
38,Remind Me to Forget,Kygo; Miguel,80105996
39,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,93864621
40,Havana (feat. Young Thug),Camila Cabello; Young Thug,106886549
41,1 2 3 (feat. Jason Derulo & De La Ghetto),Sofía Reyes; Jason Derulo; De La Ghetto,106266497
42,SAD!,XXXTENTACION,295873844
43,Paranoid,Post Malone,41870754
44,Taste (feat. Offset),Tyga; Offset,252661284
45,All The Stars (with SZA),Kendrick Lamar; SZA,75972618
46,New Rules,Dua Lipa,95524133
47,FAKE LOVE,BTS,36987229
48,Shape of You,Ed Sheeran,113656076
49,Give Yourself A Try,The 1975,5170857
50,Walk It Talk It,Migos; Drake,77373140
51,Nervous,Shawn Mendes,22124559
52,Dura - Remix,Daddy Yankee; NATTI NATASHA; Becky G; Bad Bunny,95402595
53,Mine,Bazzi,88628316
54,Ball For Me (feat. Nicki Minaj),Post Malone; Nicki Minaj,81025868
55,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,222592798
56,Plug Walk,Rich The Kid,78846758
57,La player (Bandolera),Zion & Lennox,100805745
58,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,72618248
59,Síguelo Bailando,Ozuna,76723827
60,TATI,6ix9ine; DJ SpinKing,33067658
61,Like I Do,David Guetta; Martin Garrix; Brooks,46839805
62,El Préstamo,Maluma,67018737
63,All Girls Are The Same,Juice WRLD,96086540
64,Dura,Daddy Yankee,66513357
65,Somebody,The Chainsmokers; Drew Love,53652046
66,Familiar,Liam Payne; J Balvin,67056516
67,New Light,John Mayer,57654740
68,Perfect,Ed Sheeran,86637274
69,Spoil My Night (feat. Swae Lee),Post Malone; Swae Lee,31221549
70,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd; Swae Lee; Slim Jxmmi; Juicy J,45283204
71,Échame La Culpa,Luis Fonsi; Demi Lovato,61771396
72,I Fall Apart,Post Malone,80346849
73,Candy Paint,Post Malone,65642651
74,Stay,Post Malone,24869277
75,Madura,Cosculluela; Bad Bunny,85751411
76,Por Perro,Sebastian Yatra; Luis Figueroa; Lary Over,82716871
77,Believer,Imagine Dragons,88101019
78,La Cintura,Alvaro Soler,103414868
79,JAPAN,Famous Dex,56738097
80,Mad Love,Sean Paul; David Guetta; Becky G,51811651
81,Rich & Sad,Post Malone,21293655
82,Te Amo,Piso 21; Paulo Londra,68131998
83,Bella - Remix,Wolfine; Maluma,72406680
84,Welcome to the Party (with French Montana & Lil Pump feat. Zhavia Ward) - from Deadpool 2,Diplo; French Montana; Lil Pump; Zhavia,16143902
85,Thunder,Imagine Dragons,83387051
86,KOD,J. Cole,16938846
87,Humility (feat. George Benson),Gorillaz; George Benson,3809632
88,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21; Manuel Turizo,50268525
89,XO Tour Llif3,Lil Uzi Vert,75919531
90,I'll Be There,Jess Glynne,62563147
91,Girls (feat. Cardi B Bebe Rexha & Charli XCX),Rita Ora; Bebe Rexha; Charli XCX; Cardi B,31599702
92,Wake Me Up,Avicii,64208539
93,Audio (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,58641230
94,Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott; Lil Uzi Vert; Kanye West,14702694
95,Without You (feat. Sandro Cavazza),Avicii; Sandro Cavazza,48135247
96,Criminal,NATTI NATASHA; Ozuna,44401351
97,Wolves,Selena Gomez; Marshmello,58468741
98,Done for Me (feat. Kehlani),Charlie Puth; Kehlani,21264128
99,Never Be the Same,Camila Cabello,52186628
100,Dembow,Danny Ocean,43399831
101,Shoota (feat. Lil Uzi Vert),Playboi Carti; Lil Uzi Vert,17729869
102,Ambiente,J Balvin,47231320
103,Happier,Ed Sheeran,100374034
104,HUMBLE.,Kendrick Lamar,63946259
105,Congratulations,Post Malone; Quavo,63586397
106,Feel It Still,Portugal. The Man,60076857
107,Say Something (feat. Chris Stapleton),Justin Timberlake; Chris Stapleton,11196456
108,Esskeetit,Lil Pump,37711263
109,Silence,Marshmello; Khalid,54910278
110,Let Me,ZAYN,19089445
111,King's Dead (with Kendrick Lamar Future & James Blake),Jay Rock; Kendrick Lamar; Future; James Blake,18032854
112,Ahora,J Balvin,10488154
113,1950,King Princess,22050350
114,Over Now,Post Malone,12064263
115,Too Good At Goodbyes,Sam Smith,69042512
116,Chun-Li,Nicki Minaj,19340321
117,Corazón (feat. Nego do Borel),Maluma; Nego do Borel,22215822
118,Be Careful,Cardi B,10496050
119,Mi Gente,J Balvin; Willy William,36028289
120,Finesse - Remix; feat. Cardi B,Bruno Mars; Cardi B,26795615
121,Sangria Wine,Pharrell Williams; Camila Cabello,9136379
122,I Wanna Know (feat. Bea Miller),NOTD; Bea Miller,24599052
123,Downtown,Anitta; J Balvin,14578765
124,Young Dumb & Broke,Khalid,51433289
125,Lost In Japan,Shawn Mendes,9561328
126,92 Explorer,Post Malone,11611175
127,Jocelyn Flores,XXXTENTACION,165996496
128,One Night Stand,Capital Bra,3717840
129,If You Know You Know,Pusha T,1315850
130,Unforgettable,French Montana; Swae Lee,55549168
131,Say You Won't Let Go,James Arthur,61576727
132,One Dance,Drake; Wizkid; Kyla,58722742
133,Start Again (feat. Logic),OneRepublic; Logic,44340913
134,What Lovers Do (feat. SZA),Maroon 5; SZA,56238258
135,Sensualidad,Bad Bunny; Prince Royce; J Balvin; Mambo Kingz; DJ Luian,9358673
136,Delicate,Taylor Swift,17547320
137,Solita,Ozuna; Mambo Kingz; DJ Luian; Bad Bunny; Wisin; Almighty,32434928
138,Pray For Me,The Weeknd; Kendrick Lamar,10558267
139,Amorfoda,Bad Bunny,7338547
140,Unica,Ozuna,84998983
141,goosebumps,Travis Scott,57544487
142,This Is Me,Keala Settle; The Greatest Showman Ensemble,22560550
143,Moonlight,XXXTENTACION,201554552
144,Let You Down,NF,35424320
145,Same Bitches (feat. G-Eazy & YG),Post Malone; G-Eazy; YG,8414904
146,I Like Me Better,Lauv,60062063
147,Africa,TOTO,56329397
148,River (feat. Ed Sheeran),Eminem; Ed Sheeran,13202402
149,Where Were You In The Morning?,Shawn Mendes,4783522
150,Everyday,Logic; Marshmello,9889404
151,Something Just Like This,The Chainsmokers; Coldplay,58388891
152,Zack And Codeine,Post Malone,6627141
153,More Than You Know,Axwell /\ Ingrosso,36974913
154,El Farsante - Remix,Ozuna; Romeo Santos,8902885
155,Answerphone (feat. Yxng Bane),Banx & Ranx; Ella Eyre; Yxng Bane,6370996
156,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN; Sia,14430226
157,Rewrite The Stars,Zac Efron; Zendaya,9735191
158,You Deserve Better,James Arthur,675557
159,Closer,The Chainsmokers; Halsey,62695107
160,Mi Cama,KAROL G,71300826
161,PICK IT UP (feat. A$AP Rocky),Famous Dex; A$AP Rocky,14813749
162,Bella,Wolfine,6015845
163,Stir Fry,Migos,9404048
164,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran; Beyoncé,57161280
165,Whatever It Takes,Imagine Dragons,44523866
166,Location,Khalid,25269651
167,5 in the Morning,Charli XCX,651096
168,Body,Loud Luxury; Brando,144024116
169,Me Rehúso,Danny Ocean,11002108
170,Lonely Together (feat. Rita Ora),Avicii; Rita Ora,6446403
171,Attention,Charlie Puth,9898348
172,The Night We Met,Lord Huron,7847265
173,Duro y Suave,Leslie Grace; Noriel,53800572
174,Takin' Shots,Post Malone,4673638
175,Champion (feat. Travis Scott),NAV; Travis Scott,24198841
176,Ao Vivo E A Cores,Matheus & Kauan; Anitta,32251083
177,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,21763037
178,Bodak Yellow,Cardi B,14784770
179,Wonderwall - Remastered,Oasis,46858320
180,EL BAÑO,Enrique Iglesias; Bad Bunny,3469386
181,Entertainer,ZAYN,2941215
182,Amor Falso,Aldair Playboy,3974448
183,I'm Yours,Jason Mraz,61128493
184,I Miss You (feat. Julia Michaels),Clean Bandit; Julia Michaels,5822675
185,Nena Maldición (feat. Lenny Tavárez),Paulo Londra; Lenny Tavárez,17136172
186,Thinking out Loud,Ed Sheeran,48731927
187,1-800-273-8255,Logic; Alessia Cara; Khalid,22000958
188,Bank Account,21 Savage,22833327
189,To My Love - Tainy Remix,Bomba Estéreo; Tainy,5197359
190,Sorry Not Sorry,Demi Lovato,34674708
191,Simple,Florida Georgia Line,26183746
192,Redbone,Childish Gambino,3993820
193,There's Nothing Holdin' Me Back,Shawn Mendes,8237002
194,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,3457962
195,Propaganda - Ao Vivo,Jorge & Mateus,8088877
196,BUTTERFLY EFFECT,Travis Scott,32462216
197,Bipolar,Chris Jedi; Ozuna; Brytiago,588703
198,1942 (feat. Yo Gotti & YBN Nahmir),G-Eazy; Yo Gotti; YBN Nahmir,2324868
199,Breathe (feat. Ina Wroldsen),Jax Jones; Ina Wroldsen,585834
200,Photograph,Ed Sheeran,27338861
201,All Mine,Kanye West,115155282
202,Yikes,Kanye West,52285353
203,Ghost Town,Kanye West; PARTYNEXTDOOR,37526386
204,Wouldn't Leave,Kanye West; PARTYNEXTDOOR,21028429
205,I Thought About Killing You,Kanye West,17928724
206,Violent Crimes,Kanye West,22065965
207,No Mistakes,Kanye West,17137287
208,Romance Com Safadeza,Wesley Safadão; Anitta,1165651
209,Live It Up - Official Song 2018 FIFA World Cup Russia,Nicky Jam; Will Smith; Era Istrefi,47150454
210,Lullaby,Sigala; Paloma Faith,1141866
211,That's What I Like,Bruno Mars,25209726
212,changes,XXXTENTACION,153424410
213,If You're Over Me,Years & Years,61513529
214,Rise,Jonas Blue; Jack & Jack,186502576
215,No Hay Nadie Más,Sebastian Yatra,5515438
216,Leave a Light On,Tom Walker,17975256
217,Don't Stop Believin',Journey,8959174
218,Clandestino,Shakira; Maluma,98026425
219,Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS; Ty Dolla $ign,9325125
220,Feel The Love,KIDS SEE GHOSTS; Pusha T,12762131
221,4th Dimension,KIDS SEE GHOSTS; Louis Prima,12812242
222,Fire,KIDS SEE GHOSTS,8977609
223,Reborn,KIDS SEE GHOSTS,27701435
224,Berlin lebt,Capital Bra,6071486
225,Kids See Ghosts,KIDS SEE GHOSTS; Yasiin Bey,7931623
226,Cudi Montage,KIDS SEE GHOSTS,7788507
227,Casanova,Summer Cem; Bausa,603534
228,Jogo do Amor,MC Bruninho,2889345
229,Better Not (with Wafia),Louis The Child; Wafia,31626329
230,Jump (with Trippie Redd),Julia Michaels; Trippie Redd,14602941
231,Rich Sex (feat. Lil Wayne),Nicki Minaj; Lil Wayne,6122081
232,Dance To This (feat. Ariana Grande),Troye Sivan; Ariana Grande,25414251
233,Mr. Brightside,The Killers,19235187
234,Smog,Damso,3023763
235,Bed (feat. Ariana Grande),Nicki Minaj; Ariana Grande,111992571
236,Ocean (feat. Khalid),Martin Garrix; Khalid,154014157
237,Born To Be Yours,Kygo; Imagine Dragons,133215154
238,Bigger Than You (feat. Drake & Quavo),2 Chainz; Drake; Quavo,25584478
239,DDU-DU DDU-DU,BLACKPINK,55048921
240,Valentine,5 Seconds of Summer,2070173
241,Growing Pains,Alessia Cara,9809956
242,Forever Young,BLACKPINK,2691830
243,Lie To Me,5 Seconds of Summer,718161
244,Let Me Live (feat. Anne-Marie & Mr Eazi),Rudimental; Major Lazer; Anne-Marie; Mr Eazi,15439717
245,Feu de bois,Damso,663720
246,Want You Back,5 Seconds of Summer,1712604
247,Your Love,David Guetta; Showtek,645104
248,I'm a Mess,Bebe Rexha,70872440
249,Talk Fast,5 Seconds of Summer,608311
250,Moving Along,5 Seconds of Summer,603089
251,If Walls Could Talk,5 Seconds of Summer,592705
252,Not For Radio,Nas; Diddy; 070 Shake,2554824
253,Cops Shot The Kid,Nas; Kanye West,3301639
254,White Label,Nas,1344457
255,Adam and Eve,Nas; The-Dream,1873302
256,everything,Nas; The-Dream; Kanye West,1821280
257,Bonjour,Nas; The WRLDFMS Tony Williams,1189558
258,Boo'd Up,Ella Mai,50751755
259,No Es Justo,J Balvin; Zion & Lennox,106865228
260,Halo,Beyoncé,33309002
261,ocean eyes,Billie Eilish,30092581
262,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,106733171
263,Everybody Dies In Their Nightmares,XXXTENTACION,87728665
264,the remedy for a broken heart (why am I so in love),XXXTENTACION,78355082
265,Hope,XXXTENTACION,62028488
266,NUMB,XXXTENTACION,38040890
267,Look At Me!,XXXTENTACION,76282870
268,Like To Be You (feat. Julia Michaels),Shawn Mendes; Julia Michaels,22555434
269,Revenge,XXXTENTACION,14899898
270,Carry On,XXXTENTACION,10042439
271,Roll in Peace (feat. XXXTENTACION),Kodak Black; XXXTENTACION,12574725
272,Depression & Obsession,XXXTENTACION,6856871
273,ALONE PART 3,XXXTENTACION,5577762
274,infinity (888) - feat. Joey Bada$$,XXXTENTACION; Joey Bada$$,5249887
275,Save Me,XXXTENTACION,3773991
276,before I close my eyes,XXXTENTACION,3746186
277,I Don't Wanna Do This Anymore,XXXTENTACION,5775423
278,going down!,XXXTENTACION,3671309
