ID,Track,Singer(s),Stream
1,DÁKITI,Bad Bunny; Jhayco,408410226
2,All I Want for Christmas Is You,Mariah Carey,158417533
3,positions,Ariana Grande,268490581
4,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,234569878
5,Last Christmas,Wham!,140483985
6,Mood (feat. iann dior),24kGoldn; iann dior,290898373
7,Therefore I Am,Billie Eilish,203089525
8,Dynamite,BTS,229010017
9,BICHOTA,KAROL G,266467144
10,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes; Justin Bieber,178831177
11,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,225080500
12,Santa Tell Me,Ariana Grande,109666024
13,Blinding Lights,The Weeknd,311656903
14,34+35,Ariana Grande,229554400
15,It's Beginning to Look a Lot like Christmas,Michael Bublé,101993787
16,Life Goes On,BTS,116704423
17,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,163261727
18,Rockin' Around The Christmas Tree,Brenda Lee,103830691
19,Jingle Bell Rock,Bobby Helms,99460899
20,TE MUDASTE,Bad Bunny,129123581
21,Lonely (with benny blanco),Justin Bieber; benny blanco,156557344
22,What You Know Bout Love,Pop Smoke,186211424
23,It's the Most Wonderful Time of the Year,Andy Williams,90243552
24,YO VISTO ASÍ,Bad Bunny,21124513
25,Underneath the Tree,Kelly Clarkson,80964494
26,you broke me first,Tate McRae,177690106
27,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,144163924
28,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,163312202
29,Watermelon Sugar,Harry Styles,169971451
30,Hawái,Maluma,169226782
31,HACIENDO QUE ME AMAS,Bad Bunny,39540155
32,HOLIDAY,Lil Nas X,155266632
33,Mistletoe,Justin Bieber,68935281
34,Head & Heart (feat. MNEK),Joel Corry; MNEK,161663928
35,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,120227100
36,Levitating (feat. DaBaby),Dua Lipa; DaBaby,196130596
37,Whoopty,CJ,219415988
38,pov,Ariana Grande,80102699
39,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,68387611
40,Heather,Conan Gray,135273197
41,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,125057599
42,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,144359177
43,Someone You Loved,Lewis Capaldi,159768442
44,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,150675165
45,Sleigh Ride,The Ronettes,70629485
46,BOOKER T,Bad Bunny,61559933
47,Wonder,Shawn Mendes,102036289
48,Chica Ideal,Sebastian Yatra; Guaynaa,127475932
49,TE DESEO LO MEJOR,Bad Bunny,10353340
50,Feliz Navidad,José Feliciano,66769676
51,Do They Know It's Christmas? - 1984 Version,Band Aid,63032411
52,Vida de Rico,Camilo,114047379
53,Put Your Records On,Ritt Momney,100472470
54,Body,Megan Thee Stallion,87967802
55,La Tóxica,Farruko,116642301
56,Se Te Nota (with Guaynaa),Lele Pons; Guaynaa,98828139
57,Holly Jolly Christmas,Michael Bublé,59929666
58,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra; B. Swanson Quartet,61839943
59,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,112799500
60,Midnight Sky,Miley Cyrus,69608757
61,Driving Home for Christmas - 2019 Remaster,Chris Rea,56841702
62,Hawái - Remix,Maluma; The Weeknd,74071409
63,Before You Go,Lewis Capaldi,123434885
64,Jeans,Justin Quiles,96464223
65,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,103363684
66,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,57404206
67,Reloj,Rauw Alejandro; Anuel AA,148291242
68,Mi Niña,Wisin; Myke Towers; Los Legendarios,107314493
69,Take You Dancing,Jason Derulo,100649093
70,Dance Monkey,Tones And I,145243456
71,LA DROGA,Bad Bunny,6203014
72,Roses - Imanbek Remix,SAINt JHN; Imanbek,141611473
73,SO DONE,The Kid LAROI,97590009
74,Una Locura,Ozuna; J Balvin; Chencho Corleone,103791077
75,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,99800704
76,Parce (feat. Justin Quiles),Maluma; Lenny Tavárez; Justin Quiles,93387866
77,Ay DiOs Mío!,KAROL G,85791753
78,The Business,Tiësto,175605498
79,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,140727318
80,HOY COBRÉ,Bad Bunny,4227623
81,Breaking Me,Topic; A7S,103845431
82,Don't Start Now,Dua Lipa,133610864
83,MALDITA POBREZA,Bad Bunny,4089822
84,Angels Like You,Miley Cyrus,11743427
85,Golden,Harry Styles,99321934
86,Sofia,Clairo,74512625
87,lovely (with Khalid),Billie Eilish; Khalid,100905668
88,Happy Xmas (War Is Over) - Remastered 2010,John Lennon; Yoko Ono,54773991
89,Train Wreck,James Arthur,94851457
90,Sweater Weather,The Neighbourhood,130415893
91,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,100678921
92,Blue & Grey,BTS,7557419
93,ANTES QUE SE ACABE,Bad Bunny,4035677
94,SORRY PAPI,Bad Bunny; ABRA,4029787
95,Fly To My Room,BTS,6448779
96,120,Bad Bunny,3950889
97,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,107889955
98,death bed (coffee for your head),Powfu; beabadoobee,105573251
99,Daisy,Ashnikko,61043014
100,Circles,Post Malone,103857719
101,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,83201087
102,Despeinada,Ozuna; Camilo,77393992
103,TRELLAS,Bad Bunny,2811468
104,EL MUNDO ES MÍO,Bad Bunny,2792293
105,Deep End,Fousheé,38741681
106,Come & Go (with Marshmello),Juice WRLD; Marshmello,86630944
107,Telepathy,BTS,4546094
108,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,78449842
109,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,93747617
110,Lucid Dreams,Juice WRLD,100426168
111,goosebumps,Travis Scott,94396018
112,Señorita,Shawn Mendes; Camila Cabello,92048919
113,Merry Christmas Everyone,Shakin' Stevens,39820204
114,Tú Me Dejaste De Querer,C. Tangana; Niño de Elche; La Húngara,48154235
115,Adore You,Harry Styles,94987367
116,Wishing Well,Juice WRLD,95377928
117,Dreams - 2004 Remaster,Fleetwood Mac,85621807
118,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,78511243
119,The Christmas Song (Merry Christmas To You),Nat King Cole,45240365
120,Dis-ease,BTS,2790889
121,The Box,Roddy Ricch,102791436
122,Tyler Herro,Jack Harlow,68436054
123,Diamonds,Sam Smith,35869451
124,Blueberry Faygo,Lil Mosey,95204237
125,Stay,BTS,2741437
126,bad guy,Billie Eilish,87314495
127,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,82469124
128,HIGHEST IN THE ROOM,Travis Scott,84848313
129,How You Like That,BLACKPINK,72909805
130,POPSTAR (feat. Drake),DJ Khaled; Drake,75484504
131,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach; Quarterhead; Norma Jean Martine,80448742
132,Shallow,Lady Gaga; Bradley Cooper,85695788
133,my ex's best friend (with blackbear),Machine Gun Kelly; blackbear,81153377
134,Lovesick Girls,BLACKPINK,31880462
135,Robbery,Juice WRLD,87489343
136,Mi Cuarto,Jerry Di,57893584
137,Say You Won't Let Go,James Arthur,78451711
138,Hecha Pa' Mi,Boza,169794584
139,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,52734777
140,Ice Cream (with Selena Gomez),BLACKPINK; Selena Gomez,25645801
141,Polvo,Nicky Jam; Myke Towers,86790670
142,A Holly Jolly Christmas,Burl Ives,38732122
143,White Christmas,Bing Crosby; Ken Darby Singers; John Scott Trotter & His Orchestra,40753743
144,Falling,Harry Styles,158601823
145,If the World Was Ending (feat. Julia Michaels),JP Saxe; Julia Michaels,78110340
146,La Luz,Sech; J Balvin,35856041
147,Goosebumps,HVME,113029360
148,Believer,Imagine Dragons,82497680
149,Mood (Remix) feat. Justin Bieber J Balvin & iann dior,24kGoldn; Justin Bieber; J Balvin; iann dior,8984612
150,Falling,Trevor Daniel,884415
151,Jocelyn Flores,XXXTENTACION,80850575
152,Break My Heart,Dua Lipa,81467017
153,Tusa,KAROL G; Nicki Minaj,87366005
154,everything i wanted,Billie Eilish,66769300
