ID,Track,Singer(s),Stream
1,good 4 u,Olivia Rodrigo,608447213
2,Todo De Ti,Rauw Alejandro,410507207
3,Butter,BTS,303843762
4,deja vu,Olivia Rodrigo,286883901
5,MONTERO (Call Me By Your Name),Lil Nas X,405190213
6,Kiss Me More (feat. SZA),Doja Cat; SZA,390424137
7,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,291223577
8,traitor,Olivia Rodrigo,272221023
9,drivers license,Olivia Rodrigo,231884422
10,Levitating (feat. DaBaby),Dua Lipa; DaBaby,311079148
11,favorite crime,Olivia Rodrigo,190210817
12,brutal,Olivia Rodrigo,145791218
13,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,247209548
14,happier,Olivia Rodrigo,218235754
15,Astronaut In The Ocean,Masked Wolf,203459174
16,ZITTI E BUONI,Måneskin,135856639
17,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,210279235
18,Fiel,Los Legendarios; Wisin; Jhayco,136609899
19,Pareja Del Año,Sebastian Yatra; Myke Towers,185414424
20,enough for you,Olivia Rodrigo,92853060
21,Build a Bitch,Bella Poarch,156203785
22,RAPSTAR,Polo G,169866954
23,I WANNA BE YOUR SLAVE,Måneskin,301168045
24,jealousy jealousy,Olivia Rodrigo,160118304
25,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,194967023
26,1 step forward 3 steps back,Olivia Rodrigo,74554957
27,Blinding Lights,The Weeknd,200944264
28,AM,Nio Garcia; Flow La Movie,77963748
29,Dynamite,BTS,155863052
30,Body (Remix) [feat. ArrDee E1 (3x3) ZT (3x3) Bugzy Malone Buni Fivio Foreign & Darkoo],Tion Wayne; Russ Millions; ArrDee; E1 (3x3); ZT (3x3); Bugzy Malone; Buni; Fivio Foreign; Darkoo,63872528
31,The Business,Tiësto,145476759
32,DÁKITI,Bad Bunny; Jhayco,162622588
33,2/Catorce,Rauw Alejandro; Mr. Naisgai,133968898
34,hope ur ok,Olivia Rodrigo,51828282
35,telepatía,Kali Uchis,120147894
36,Heartbreak Anniversary,Giveon,130513495
37,Save Your Tears,The Weeknd,127754491
38,Heat Waves,Glass Animals,178821986
39,EL MAKINON,KAROL G; Mariah Angeliq,117404248
40,Botella Tras Botella,Gera MX; Christian Nodal,115134770
41,Watermelon Sugar,Harry Styles,159158258
42,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5; Megan Thee Stallion,130378981
43,Your Love (9PM),ATB; Topic; A7S,124634845
44,Arcade,Duncan Laurence,111507777
45,Your Power,Billie Eilish,52467766
46,Goosebumps - Remix,Travis Scott; HVME,108895974
47,Hold On,Justin Bieber,100303012
48,Rasputin,Majestic; Boney M.,129005478
49,Mood (feat. iann dior),24kGoldn; iann dior,136570253
50,BED,Joel Corry; RAYE; David Guetta,102001365
51,Miénteme,TINI; Maria Becerra,142170788
52,Bandido,Myke Towers; Juhn,76281313
53,Up,Cardi B,77241264
54,Don't Start Now,Dua Lipa,120213580
55,Someone You Loved,Lewis Capaldi,116115532
56,Runaway,AURORA,69700698
57,512,Mora; Jhayco,98787225
58,Streets,Doja Cat,91123476
59,m y . l i f e (with 21 Savage & Morray),J. Cole; 21 Savage; Morray,23270126
60,WITHOUT YOU,The Kid LAROI,101217902
61,Head & Heart (feat. MNEK),Joel Corry; MNEK,103016314
62,Sal y Perrea,Sech,86831962
63,Poblado,Crissin; Totoy El Frio; Natan & Shander,27982353
64,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole; Lil Baby,23245560
65,Lucid Dreams,Juice WRLD,71533329
66,Wants and Needs (feat. Lil Baby),Drake; Lil Baby,108745244
67,Miss The Rage (feat. Playboi Carti),Trippie Redd; Playboi Carti,83195885
68,911,Sech,49589991
69,We're Good,Dua Lipa,48848790
70,Talking to the Moon,Bruno Mars,93178818
71,Dick (feat. Doja Cat),StarBoi3; Doja Cat,37849761
72,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,45741843
73,Sweater Weather,The Neighbourhood,111279325
74,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,91446538
75,positions,Ariana Grande,98330629
76,Qué Más Pues?,J Balvin; Maria Becerra,272769791
77,Levitating,Dua Lipa,96532390
78,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,9311385
79,Dance Monkey,Tones And I,101797617
80,Calling My Phone,Lil Tjay; 6LACK,66846703
81,Heartbreak Anthem (with David Guetta & Little Mix),Galantis; David Guetta; Little Mix,122420300
82,Run,OneRepublic,113736641
83,SUN GOES DOWN,Lil Nas X,12859066
84,Roses - Imanbek Remix,SAINt JHN; Imanbek,89434391
85,Best Friend (feat. Doja Cat),Saweetie; Doja Cat,57207687
86,Hecha Pa' Mi,Boza,25734150
87,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,85295259
88,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,89690201
89,34+35,Ariana Grande,77833865
90,Wasted Love (feat. Lagique),Ofenbach; Lagique,63947887
91,Cover Me In Sunshine,P!nk; Willow Sage Hart,58593454
92,a m a r i,J. Cole,8703256
93,Freaks,Surf Curse,115962533
94,you broke me first,Tate McRae,84930600
95,lovely (with Khalid),Billie Eilish; Khalid,89972232
96,malibu,sangiovanni,30732463
97,Aloha,Maluma; Beéle; Rauw Alejandro; Mambo Kingz; DJ Luian; Darell,36605168
98,Before You Go,Lewis Capaldi,91606843
99,Ram Pam Pam,NATTI NATASHA; Becky G,80770554
100,Leave Before You Love Me (with Jonas Brothers),Marshmello; Jonas Brothers,116768104
101,Circles,Post Malone,93882885
102,Another Love,Tom Odell,80792329
103,Good Days,SZA,45790392
104,Life Goes On,BTS,23870872
105,Reloj,Rauw Alejandro; Anuel AA,30382481
106,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,75700895
107,Bipolar,Mc Davi; Mc Pedrinho; Mc Don Juan; DJ 900,48235964
108,Heather,Conan Gray,82485613
109,Believer,Imagine Dragons,89743716
110,Our Song,Anne-Marie; Niall Horan,37357890
111,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,85997568
112,Tell Em,Cochise; $NOT,66821289
113,CORALINE,Måneskin,9927243
114,goosebumps,Travis Scott,77414609
115,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,9077313
116,Ella No Es Tuya - Remix,Rochy RD; Myke Towers; Nicki Nicole,17006927
117,Señorita,Shawn Mendes; Camila Cabello,82260124
118,Whoopty,CJ,28805644
119,Shape of You,Ed Sheeran,85763926
120,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,71527864
121,Little Bit of Love,Tom Grennan,69099799
122,Follow You,Imagine Dragons,42385932
123,bad guy,Billie Eilish,75660356
124,Shallow,Lady Gaga; Bradley Cooper,76501766
125,Take Me To Church,Hozier,77018514
126,GANG GANG (with Lil Wayne),Polo G; Lil Wayne,16268522
127,Adore You,Harry Styles,60995705
128,Martin & Gina,Polo G,46553455
129,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans; 220 KID; Billen Ted,19105791
130,Breaking Me,Topic; A7S,42600994
131,What You Know Bout Love,Pop Smoke,61158860
132,Perfect,Ed Sheeran,82947182
133,Say You Won't Let Go,James Arthur,69298245
134,death bed (coffee for your head),Powfu; beabadoobee,56886435
135,My Head & My Heart,Ava Max,14564910
136,Hawái,Maluma,75724037
137,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,60017986
138,Higher Power,Coldplay,7771353
139,NEVER LEFT,Lil Tecca,8056198
140,The Nights,Avicii,77196987
141,Wake Me Up,Avicii,73422908
142,Dreams - 2004 Remaster,Fleetwood Mac,70994918
143,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,25473655
144,Anti-Romantic,TOMORROW X TOGETHER,816030
145,Ride It,Regard,37572533
146,Riptide,Vance Joy,78475502
147,Killer (feat. Jack Harlow & Cordae) - Remix,Eminem; Jack Harlow; Cordae,1723368
148,One Dance,Drake; Wizkid; Kyla,59752005
149,Yellow,Coldplay,71747375
150,Bohemian Rhapsody - Remastered 2011,Queen,76513531
151,Solid (feat. Drake),Young Stoner Life; Young Thug; Gunna; Drake,9199195
152,Volta Bebê Volta Neném,Dj Guuga; DJ Ivis,32433936
153,my ex's best friend (with blackbear),Machine Gun Kelly; blackbear,15182385
154,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,5551873
155,Anyone,Justin Bieber,16565884
156,7 rings,Ariana Grande,60693925
157,GIRL LIKE ME,Black Eyed Peas; Shakira,14788201
158,Therefore I Am,Billie Eilish,31353392
159,Just the Way You Are,Bruno Mars,21319538
160,Daddy Issues,The Neighbourhood,74817591
161,Counting Stars,OneRepublic,73643393
162,All of Me,John Legend,56870653
163,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,20677468
164,Smells Like Teen Spirit - Remastered,Nirvana,77129665
165,Break My Heart,Dua Lipa,18697065
166,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,25013970
167,You,Regard; Troye Sivan; Tate McRae,12777787
168,The Real Slim Shady,Eminem,48147348
169,HIGHEST IN THE ROOM,Travis Scott,14752694
170,Every Breath You Take,The Police,70168520
171,Boy With Luv (feat. Halsey),BTS; Halsey,2318162
172,The Box,Roddy Ricch,21438083
173,No Role Modelz,J. Cole,16690787
174,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,13142477
175,Slumber Party (feat. Princess Nokia),Ashnikko; Princess Nokia,5213702
176,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,11082482
177,BICHOTA,KAROL G,7600188
178,Another One Bites The Dust - Remastered 2011,Queen,56481173
179,Mr. Brightside,The Killers,68775618
180,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis; Macklemore; Ryan Lewis; Ray Dalton,21250473
181,The Hills,The Weeknd,35964307
182,Closer,The Chainsmokers; Halsey,38134718
183,Do I Wanna Know?,Arctic Monkeys,25103574
184,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,7261326
185,All Girls Are The Same,Juice WRLD,1477782
186,Dior,Pop Smoke,26898135
187,Jocelyn Flores,XXXTENTACION,35605166
188,SICKO MODE,Travis Scott,7540956
189,Golden,Harry Styles,9697374
190,Ramen & OJ,Joyner Lucas; Lil Baby,730088
191,Stereo Hearts (feat. Adam Levine),Gym Class Heroes; Adam Levine,29900049
192,TE MUDASTE,Bad Bunny,13128862
193,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,1450892
194,What’s Next,Drake,1460187
195,Beggin',Måneskin,483728533
196,Something Just Like This,The Chainsmokers; Coldplay,5722487
197,Somebody That I Used To Know,Gotye; Kimbra,1453440
198,Come & Go (with Marshmello),Juice WRLD; Marshmello,18184753
199,Falling,Harry Styles,3644228
200,Cloud 9,Beach Bunny,1414543
201,Lost Cause,Billie Eilish,94584088
202,Tipo Gin - Ao Vivo,MC Kevin o Chris,9596858
203,Batom de Cereja - Ao Vivo,Israel & Rodolffo,22374902
204,Iko Iko (My Bestie),Justin Wellington; Small Jam,90910529
205,Vida Louca,Mc Poze do Rodo; Neo Beats; Mainstreet,6140893
206,Butter - Hotter Remix,BTS,1010235
207,Liberdade (Quando o Grave Bate Forte),Alok; Mc Don Juan; Dj GBR,4891059
208,Disco Arranhado - Funk Remix,Malu; DJ Lucas Beat,4878679
209,Só Não Divulga,Fernando & Sorocaba; Tarcísio do Acordeon,15128778
210,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW; Travis Barker,77543505
211,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha; Jorge,3889798
212,Baby Me Atende,Matheus Fernandes; Dilsinho,41093695
213,Paradigmas,Jorge & Mateus,1587489
214,everything i wanted,Billie Eilish,743253
215,Yonaguni,Bad Bunny,369967316
216,Voice of the Heroes,Lil Baby; Lil Durk,4296558
217,Last Train Home,John Mayer,8443065
218,By Your Side (feat. Tom Grennan),Calvin Harris; Tom Grennan,64538029
219,late at night,Roddy Ricch,50750729
220,Hats Off (feat. Travis Scott),Lil Baby; Lil Durk; Travis Scott,7324233
221,2040,Lil Baby; Lil Durk,962177
222,u love u (with Tate McRae),blackbear; Tate McRae,933635
223,Who I Want,Lil Baby; Lil Durk,864303
224,Still Runnin (feat. Meek Mill),Lil Baby; Lil Durk; Meek Mill,819266
225,Troca,Jorge & Mateus,13242862
226,Tapão Na Raba,Raí Saia Rodada,1506840
227,Take on Me,a-ha,7592484
228,Under Pressure - Remastered 2011,Queen; David Bowie,798159
229,Wonderwall - Remastered,Oasis,10197035
230,Explícito,Myke Towers,773902
231,LA CANCIÓN,J Balvin; Bad Bunny,1455930
232,Don't Stop Me Now - Remastered 2011,Queen,2918215
233,As the World Caves In,Matt Maltese,20795541
234,Blueberry Faygo,Lil Mosey,2016339
235,Don't fight the feeling,EXO,1744527
236,Petrouchka (feat. PLK),Soso Maness; PLK,16974759
237,Loco,Justin Quiles; Chimbala; Zion & Lennox,91455910
238,In the End,Linkin Park,25348336
239,Alcohol-Free,TWICE,34576607
240,Life Is Good (feat. Drake),Future; Drake,2181707
241,Dinero,Trinidad Cardona,104791759
242,Eladio Carrion: Bzrp Music Sessions Vol. 40,Bizarrap; Eladio Carrion,19765540
243,Solar Power,Lorde,42041781
244,Having Our Way (feat. Drake),Migos; Drake,23017372
245,No Return (with The Kid LAROI & Lil Durk),Polo G; The Kid LAROI; Lil Durk,13516398
246,Need to Know,Doja Cat,202253444
247,Avalanche,Migos,4480048
248,Black Hearted,Polo G,5694683
249,Straightenin,Migos,9863008
250,Painting Pictures,Polo G,2430471
251,Malibu (feat. Polo G),Migos; Polo G,3183950
252,Toxic,Polo G,2277724
253,Thot Shit,Megan Thee Stallion,101507365
254,Lost,Maroon 5,6410263
255,Clueless (with Pop Smoke & Fivio Foreign),Polo G; Pop Smoke; Fivio Foreign,2966082
256,Modern Day,Migos,2162395
257,Antisocial (feat. Juice WRLD),Migos; Juice WRLD,2048033
258,Light It Up (feat. Pop Smoke),Migos; Pop Smoke,2056287
259,Type Shit (feat. Cardi B),Migos; Cardi B,1243104
260,Boom,Polo G,1180169
261,Party Lyfe (with DaBaby),Polo G; DaBaby,1965971
262,Picasso (feat. Future),Migos; Future,1165494
263,Birthday,Migos,1127430
264,Vaccine,Migos,1112155
265,Epidemic,Polo G,1097369
266,Memories,Maroon 5,70665443
267,Heart of a Giant (with Rod Wave),Polo G; Rod Wave,1061704
268,Broken Guitars (with Scorey),Polo G; Scorey,1055330
269,Jane,Migos,1834714
270,Go Part 1 (with G Herbo),Polo G; G Herbo,1033891
271,Fame & Riches (with Roddy Ricch),Polo G; Roddy Ricch,986670
272,What You See (feat. Justin Bieber),Migos; Justin Bieber,973161
273,Bloody Canvas,Polo G,954292
274,So Real,Polo G,937452
275,For the Love of New York (with Nicki Minaj),Polo G; Nicki Minaj,922494
276,Zooted Freestyle,Polo G,910970
277,Losses (with Young Thug),Polo G; Young Thug,910896
278,Roadrunner,Migos,894969
279,Sweet Dreams,Alan Walker; Imanbek,866739
280,MILLE – feat. Orietta Berti,Fedez; Achille Lauro; Orietta Berti,16051582
281,Faz Amor Comigo Só Hoje - Ao Vivo,Israel & Rodolffo; Wesley Safadão,18594528
282,Summer,Calvin Harris,683057
