ID,Track,Singer(s),Stream
1,rockstar (feat. 21 Savage),Post Malone; 21 Savage,163355331
2,Havana (feat. Young Thug),Camila Cabello; Young Thug,133615373
3,New Rules,Dua Lipa,106274877
4,Wolves,Selena Gomez; Marshmello,97825578
5,What Lovers Do (feat. SZA),Maroon 5; SZA,95169291
6,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN; Sia,83196962
7,Perfect,Ed Sheeran,96383364
8,Too Good At Goodbyes,Sam Smith,103172191
9,Silence,Marshmello; Khalid,80847397
10,Let You Down,NF,81763269
11,Gucci Gang,Lil Pump,90805012
12,1-800-273-8255,Logic; Alessia Cara; Khalid,67672526
13,I Fall Apart,Post Malone,71025154
14,Young Dumb & Broke,Khalid,62351632
15,Stargazing,Kygo; Justin Jesso,58973813
16,Sorry Not Sorry,Demi Lovato,50428190
17,Feel It Still,Portugal. The Man,52445557
18,How Long,Charlie Puth,60236382
19,Ghostface Killers (feat. Travis Scott),21 Savage; Offset; Metro Boomin; Travis Scott,35000003
20,Mi Gente,J Balvin; Willy William,51192782
21,Shape of You,Ed Sheeran,58205668
22,Glorious (feat. Skylar Grey),Macklemore; Skylar Grey,43878837
23,Unforgettable,French Montana; Swae Lee,52578183
24,Lonely Together (feat. Rita Ora),Avicii; Rita Ora,52560509
25,Bank Account,21 Savage,49724416
26,XO Tour Llif3,Lil Uzi Vert,51970295
27,Thunder,Imagine Dragons,52291001
28,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,55089748
29,Friends (with BloodPop®),Justin Bieber; BloodPop®,40798988
30,Congratulations,Post Malone; Quavo,47956534
31,What About Us,P!nk,39774354
32,Mi Gente (feat. Beyoncé),J Balvin; Willy William; Beyoncé,41078214
33,Bodak Yellow,Cardi B,39754363
34,Criminal,NATTI NATASHA; Ozuna,50671822
35,Attention,Charlie Puth,41222239
36,Me Rehúso,Danny Ocean,42924898
37,Se Preparó,Ozuna,36334109
38,MotorSport,Migos; Nicki Minaj; Cardi B,40953148
39,I Like Me Better,Lauv,39005226
40,Mayores,Becky G; Bad Bunny,42957984
41,Look What You Made Me Do,Taylor Swift,30329004
42,More Than You Know,Axwell /\ Ingrosso,36864802
43,Jocelyn Flores,XXXTENTACION,36480784
44,Too Much To Ask,Niall Horan,33419885
45,HUMBLE.,Kendrick Lamar,36599839
46,Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris; Pharrell Williams; Katy Perry; Big Sean; Funk Wav,31895026
47,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,40033117
48,Without You (feat. Sandro Cavazza),Avicii; Sandro Cavazza,29271735
49,I Get the Bag (feat. Migos),Gucci Mane; Migos,31630513
50,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,30221011
51,Rap Saved Me (feat. Quavo),21 Savage; Offset; Metro Boomin; Quavo,7709408
52,There's Nothing Holdin' Me Back,Shawn Mendes,29338554
53,Perro Fiel (feat. Nicky Jam),Shakira; Nicky Jam,37219749
54,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,39655612
55,I Miss You (feat. Julia Michaels),Clean Bandit; Julia Michaels,38348194
56,Bonita,J Balvin; Jowell & Randy,30846290
57,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert; Oh Wonder,22585704
58,Plain Jane,A$AP Ferg,39350760
59,Questions,Chris Brown,24674904
60,Go Flex,Post Malone,25037945
61,Que Va,Alex Sensation; Ozuna,32674411
62,Felices los 4,Maluma,30615545
63,Homemade Dynamite (Feat. Khalid Post Malone & SZA) - REMIX,Lorde; Khalid; Post Malone; SZA,24230491
64,Reggaetón Lento (Remix),CNCO; Little Mix,26070155
65,Believer,Imagine Dragons,30273170
66,Something Just Like This,The Chainsmokers; Coldplay,30412726
67,Good Old Days (feat. Kesha),Macklemore; Kesha,27404639
68,Báilame - Remix,Nacho; Yandel; Bad Bunny; Mambo Kingz; DJ Luian,30913244
69,Bedroom Floor,Liam Payne,22945892
70,BUTTERFLY EFFECT,Travis Scott,28468793
71,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled; Rihanna; Bryson Tiller,26164316
72,A Different Way (with Lauv),DJ Snake; Lauv,25654558
73,Bad At Love,Halsey,28477788
74,Escápate Conmigo (feat. Ozuna),Wisin; Ozuna,28254471
75,Gorgeous,Taylor Swift,17987473
76,My Choppa Hate Niggas,21 Savage; Metro Boomin,5407224
77,goosebumps,Travis Scott,26928161
78,Mama,Jonas Blue; William Singe,24945246
79,Strip That Down (feat. Quavo),Liam Payne; Quavo,25551875
80,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson; Bebe Rexha; Digital Farm Animals,23812330
81,Robarte un Beso,Carlos Vives; Sebastian Yatra,27377096
82,Suena El Dembow,Joey Montana; Sebastian Yatra,28684723
83,Slow Hands,Niall Horan,23015913
84,Location,Khalid,26395244
85,Say You Won't Let Go,James Arthur,25914818
86,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne),DJ Khaled; Justin Bieber; Quavo; Chance the Rapper; Lil Wayne,23927506
87,Nightmare,Offset; Metro Boomin,2198036
88,Disrespectful,21 Savage; Offset; Metro Boomin,2736853
89,Vuelve,Daddy Yankee; Bad Bunny,27166289
90,Candy Paint,Post Malone,40527857
91,Man's Not Hot,Big Shaq,35855784
92,Una Lady Como Tú,Manuel Turizo,23353257
93,Despacito,Luis Fonsi; Daddy Yankee,23881137
94,No Limit,G-Eazy; A$AP Rocky; Cardi B,40805901
95,Mad Stalkers,21 Savage; Offset; Metro Boomin,2091413
96,Kids in Love (feat. The Night Game),Kygo; The Night Game,7262414
97,Roll in Peace (feat. XXXTENTACION),Kodak Black; XXXTENTACION,22885774
98,Anywhere,Rita Ora,28508176
99,Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson,22179103
100,If I'm Lucky,Jason Derulo,15486487
101,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo; Nicki Minaj; Ty Dolla $ign,21944740
102,2U (feat. Justin Bieber),David Guetta; Justin Bieber,20452796
103,All Falls Down (feat. Juliander),Alan Walker; Noah Cyrus; Digital Farm Animals; Juliander,28197228
104,Ahora Dice,Chris Jedi; J Balvin; Ozuna; Arcángel,22093212
105,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,23223118
106,Mask Off,Future,20869765
107,...Ready For It?,Taylor Swift,21501264
108,Your Song,Rita Ora,20246485
109,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes; Fetty Wap; CVBZ,20126537
110,Slippery (feat. Gucci Mane),Migos; Gucci Mane,21855571
111,Tú Foto,Ozuna,20858702
112,It Ain't Me (with Selena Gomez),Kygo; Selena Gomez,20231438
113,That's What I Like,Bruno Mars,20918160
114,White Iverson,Post Malone,20463434
115,Thriller,Michael Jackson,683251
116,No Promises (feat. Demi Lovato),Cheat Codes; Demi Lovato,18953399
117,Closer,The Chainsmokers; Halsey,20137934
118,Explícale (feat. Bad Bunny),Yandel; Bad Bunny,20565033
119,Galway Girl,Ed Sheeran,21346040
120,Was du Liebe nennst,Bausa,20240189
121,Run Up the Racks,21 Savage; Metro Boomin,1232414
122,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann; Cheat Codes; CADE,18367036
123,There for You,Martin Garrix; Troye Sivan,18369491
124,3 A.M.,Jesse & Joy; Gente De Zona,20660194
125,Rake It Up (feat. Nicki Minaj),Yo Gotti; Nicki Minaj,18440014
126,New,Daya,18853278
127,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,19934751
128,Stay,Zedd; Alessia Cara,18594372
129,Pray,Sam Smith,33259465
130,Hey DJ,CNCO; Yandel,18421524
131,El Farsante,Ozuna,18627194
132,One Dance,Drake; Wizkid; Kyla,18214633
133,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie; Kodak Black,19065549
134,Bella y Sensual,Romeo Santos; Daddy Yankee; Nicky Jam,19540323
135,Photograph,Ed Sheeran,19832681
136,Redbone,Childish Gambino,18931670
137,Thinking out Loud,Ed Sheeran,19006062
138,Starboy,The Weeknd; Daft Punk,18291188
139,Still Serving,21 Savage; Offset; Metro Boomin,1083969
140,Help Me Out (with Julia Michaels),Maroon 5; Julia Michaels,582418
141,DNA.,Kendrick Lamar,17158441
142,Everybody Dies In Their Nightmares,XXXTENTACION,17167314
143,Issues,Julia Michaels,17549933
144,Darth Vader,21 Savage; Offset; Metro Boomin,1054148
145,Loco Enamorado,Abraham Mateo; Farruko; Christian Daniel,16699952
