ID,Track,Singer(s),Stream
1,Shape of You,Ed Sheeran,207532690
2,Paris,The Chainsmokers,108384510
3,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,114004250
4,Despacito,Luis Fonsi; Daddy Yankee,103097725
5,Castle on the Hill,Ed Sheeran,81805645
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,80302776
7,Starboy,The Weeknd; Daft Punk,70157750
8,Say You Won't Let Go,James Arthur,70009753
9,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,64739602
10,Closer,The Chainsmokers; Halsey,67131898
11,I Feel It Coming,The Weeknd; Daft Punk,69670158
12,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,55257025
13,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,64782231
14,Scared to Be Lonely,Martin Garrix; Dua Lipa,82302659
15,Chantaje (feat. Maluma),Shakira; Maluma,57608666
16,Just Hold On,Steve Aoki; Louis Tomlinson,53569437
17,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,53437974
18,Fake Love,Drake,49749199
19,Let Me Love You,DJ Snake; Justin Bieber,48341515
20,How Far I'll Go - From "Moana",Alessia Cara,52115706
21,24K Magic,Bruno Mars,47302862
22,All Night,The Vamps; Matoma,46144979
23,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer; PARTYNEXTDOOR; Nicki Minaj,52146337
24,One Dance,Drake; Wizkid; Kyla,42857001
25,Solo Dance,Martin Jensen,46130570
26,Side To Side,Ariana Grande; Nicki Minaj,37644909
27,Hear Me Now,Alok; Zeeba; Bruno Martini,41514610
28,Issues,Julia Michaels,60339652
29,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,37815011
30,In the Name of Love,Martin Garrix; Bebe Rexha,37031253
31,Black Beatles,Rae Sremmurd; Gucci Mane,34569302
32,Shed a Light,Robin Schulz; David Guetta; Cheat Codes,39034869
33,Reggaetón Lento (Bailemos),CNCO,39464660
34,Now and Later,Sage The Gemini,36724529
35,Love Me Now,John Legend,29801904
36,All Time Low,Jon Bellion,42952480
37,Weak,AJR,44412283
38,Mercy,Shawn Mendes,29330734
39,T-Shirt,Migos,33250722
40,Starving,Hailee Steinfeld; Grey; Zedd,32320441
41,Bounce Back,Big Sean,46383050
42,I Would Like,Zara Larsson,33311853
43,My Way,Calvin Harris,32560212
44,Alone,Alan Walker,29664111
45,All We Know,The Chainsmokers; Phoebe Ryan,25879107
46,Scars To Your Beautiful,Alessia Cara,25396690
47,Heathens,Twenty One Pilots,26480276
48,Don't Leave,Snakehips; MØ,35752372
49,Treat You Better,Shawn Mendes,25917571
50,Caroline,Aminé,26350686
51,By Your Side,Jonas Blue; RAYE,23012368
52,El Amante,Nicky Jam,39190839
53,iSpy (feat. Lil Yachty),KYLE; Lil Yachty,38581684
54,Otra vez (feat. J Balvin),Zion & Lennox; J Balvin,28129009
55,Safari,J Balvin; Pharrell Williams; BIA; Sky Rompiendo,26267393
56,Sunset Lover,Petit Biscuit,26945435
57,Human,Rag'n'Bone Man,26138484
58,Water Under the Bridge,Adele,27141463
59,Lot to Learn,Luke Christopher,21358910
60,Don't Let Me Down,The Chainsmokers; Daya,24074208
61,I Got You,Bebe Rexha,26680233
62,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth; Selena Gomez,21530822
63,Photograph,Ed Sheeran,23664425
64,Make Me (Cry),Noah Cyrus; Labrinth,21954633
65,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),Justin Timberlake,24045306
66,Vente Pa' Ca (feat. Maluma),Ricky Martin; Maluma,22384916
67,Broccoli (feat. Lil Yachty),DRAM; Lil Yachty,22174236
68,Touch,Little Mix,23128450
69,It's Gotta Be You,Isaiah Firebrace,23540324
70,Sexual,NEIKED; Dyo,19887312
71,Party Monster,The Weeknd,22126821
72,September Song,JP Cooper,21734465
73,Lighthouse - Andrelli Remix,Hearts & Colors; Andrelli,17955561
74,Redbone,Childish Gambino,19526333
75,You Don't Know Me (feat. RAYE),Jax Jones; RAYE,27269258
76,I Took A Pill In Ibiza - Seeb Remix,Mike Posner; Seeb,20373614
77,Thinking out Loud,Ed Sheeran,21835940
78,Ay Mi Dios,IAmChino; Pitbull; Yandel; El Chacal,21032600
79,Vacaciones,Wisin,20570209
80,No Lie,Sean Paul; Dua Lipa,18754735
81,Me llamas (feat. Maluma) - Remix,Piso 21; Maluma,20048833
82,Deja Vu,J. Cole,16667686
83,The Greatest (feat. Kendrick Lamar),Sia; Kendrick Lamar,18278170
84,X (feat. Future),21 Savage; Metro Boomin; Future,18499229
85,Cheap Thrills,Sia,18565296
86,i hate u i love u (feat. olivia o'brien),gnash; Olivia O'Brien,17083092
87,The Mack,Nevada; Mark Morrison; Fetty Wap,16160864
88,This Is What You Came For,Calvin Harris; Rihanna,17789935
89,Ride,Twenty One Pilots,19189143
90,Perfect Strangers,Jonas Blue; JP Cooper,18168503
91,Versace on the Floor,Bruno Mars,18919935
92,Stressed Out,Twenty One Pilots,19467103
93,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy; Marc E. Bassy,18576613
94,Faded,Alan Walker,18032702
95,Dile Que Tu Me Quieres,Ozuna,18235095
