Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,7.065.438,1,1,24
2,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne),DJ Khaled; Justin Bieber; Quavo; Chance the Rapper; Lil Wayne,5.781.139,2,2,13
3,Shape of You,Ed Sheeran,4.842.284,1,3,125
4,HUMBLE.,Kendrick Lamar,4.376.258,1,4,41
5,Something Just Like This,The Chainsmokers; Coldplay,3.329.542,2,5,77
6,Mask Off,Future,3.246.343,5,6,83
7,It Ain't Me (with Selena Gomez),Kygo; Selena Gomez,3.191.874,2,7,84
8,Stay,Zedd; Alessia Cara,3.132.833,5,8,76
9,That's What I Like,Bruno Mars,3.007.807,5,9,130
10,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo; Nicki Minaj; Ty Dolla $ign,2.915.459,10,11,76
11,Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson,2.886.921,9,10,55
12,Despacito,Luis Fonsi; Daddy Yankee,2.859.881,3,12,117
13,There's Nothing Holdin' Me Back,Shawn Mendes,2.776.905,13,14,21
14,Passionfruit,Drake,2.745.576,2,13,53
15,XO Tour Llif3,Lil Uzi Vert,2.381.928,15,16,47
16,Attention,Charlie Puth,2.366.496,16,18,20
17,DNA.,Kendrick Lamar,2.352.205,3,15,27
18,First Time,Kygo; Ellie Goulding,2.315.429,18,19,13
19,Felices los 4,Maluma,2.299.515,16,17,20
20,Unforgettable,French Montana; Swae Lee,2.282.808,20,20,32
21,Slide (feat. Frank Ocean & Migos),Calvin Harris; Frank Ocean; Migos; Funk Wav,2.264.074,12,21,76
22,Issues,Julia Michaels,2.158.006,9,22,114
23,Scared to Be Lonely,Martin Garrix; Dua Lipa,2.138.399,5,23,104
24,Galway Girl,Ed Sheeran,2.130.529,2,24,69
25,Sign of the Times,Harry Styles,1.991.083,13,26,34
26,1-800-273-8255,Logic; Alessia Cara; Khalid,1.986.626,25,25,13
