Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,rockstar (feat. 21 Savage),Post Malone; 21 Savage,6.260.200,1,1,50
2,Havana (feat. Young Thug),Camila Cabello; Young Thug,4.748.551,2,2,92
3,Too Good At Goodbyes,Sam Smith,4.027.566,1,7,57
4,New Rules,Dua Lipa,3.863.304,2,3,117
5,Wolves,Selena Gomez; Marshmello,3.457.342,4,4,10
6,What Lovers Do (feat. SZA),Maroon 5; SZA,3.439.442,4,5,66
7,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN; Sia,3.162.231,3,6,58
8,Perfect,Ed Sheeran,3.054.035,6,8,246
9,Silence,Marshmello; Khalid,2.954.388,7,9,85
10,Gucci Gang,Lil Pump,2.831.644,10,11,56
11,Let You Down,NF,2.787.488,10,10,30
12,1-800-273-8255,Logic; Alessia Cara; Khalid,2.632.449,3,12,190
13,I Fall Apart,Post Malone,2.535.241,10,13,40
14,Young Dumb & Broke,Khalid,2.271.751,11,14,133
15,Stargazing,Kygo; Justin Jesso,2.218.626,15,15,43
16,How Long,Charlie Puth,2.108.964,16,16,29
17,Sorry Not Sorry,Demi Lovato,2.100.881,7,17,116
18,Shape of You,Ed Sheeran,2.077.438,1,19,302
19,Mi Gente,J Balvin; Willy William,2.071.510,1,21,127
20,Feel It Still,Portugal. The Man,2.050.724,17,18,115
21,Unforgettable,French Montana; Swae Lee,1.998.656,3,22,209
22,Ghostface Killers (feat. Travis Scott),21 Savage; Offset; Metro Boomin; Travis Scott,1.981.730,19,20,4
23,Glorious (feat. Skylar Grey),Macklemore; Skylar Grey,1.917.523,13,23,120
24,XO Tour Llif3,Lil Uzi Vert,1.899.538,9,26,224
25,Bank Account,21 Savage,1.883.561,21,27,120
26,Lonely Together (feat. Rita Ora),Avicii; Rita Ora,1.878.375,24,24,85
27,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,1.827.858,25,25,57
28,Thunder,Imagine Dragons,1.813.817,7,28,190
29,Congratulations,Post Malone; Quavo,1.756.760,20,29,284
30,MotorSport,Migos; Nicki Minaj; Cardi B,1.698.554,30,32,8
31,Friends (with BloodPop®),Justin Bieber; BloodPop®,1.692.482,2,30,79
32,Criminal,NATTI NATASHA; Ozuna,1.661.557,32,36,54
33,Mi Gente (feat. Beyoncé),J Balvin; Willy William; Beyoncé,1.652.657,13,33,36
34,What About Us,P!nk,1.615.913,14,31,85
35,Se Preparó,Ozuna,1.605.801,31,37,74
36,Bodak Yellow,Cardi B,1.603.845,15,35,98
37,Call It What You Want,Taylor Swift,1.577.884,37,—,1
38,Me Rehúso,Danny Ocean,1.567.883,18,38,260
39,Attention,Charlie Puth,1.561.802,5,34,197
40,Mayores,Becky G; Bad Bunny,1.515.688,36,41,100
41,Pray,Sam Smith,1.491.303,40,106,29
42,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,1.475.730,42,47,4
43,More Than You Know,Axwell /\ Ingrosso,1.472.274,14,42,159
44,HUMBLE.,Kendrick Lamar,1.429.038,1,44,218
45,Jocelyn Flores,XXXTENTACION,1.427.375,15,40,71
46,I Like Me Better,Lauv,1.426.198,24,39,152
47,Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris; Pharrell Williams; Katy Perry; Big Sean; Funk Wav,1.416.212,5,46,141
48,Look What You Made Me Do,Taylor Swift,1.368.439,1,45,71
